Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='cifar10', data_aug=0, model='PreActResNet18', lr=0.01, batch_size=64, ssize=64, method=<Method.SGD: 0>)
initial seed = 5
Epoch 0 | tr_loss=2.315 tr_acc=9.02 | te_loss=2.315 te_acc=8.85 | time=13.3
Epoch 1 | tr_loss=0.900 tr_acc=68.27 | te_loss=0.930 te_acc=67.07 | time=42.5
Epoch 2 | tr_loss=0.569 tr_acc=80.34 | te_loss=0.669 te_acc=77.08 | time=69.5
Epoch 3 | tr_loss=0.423 tr_acc=85.58 | te_loss=0.563 te_acc=80.52 | time=96.8
Epoch 4 | tr_loss=0.318 tr_acc=89.05 | te_loss=0.545 te_acc=81.82 | time=123.7
Epoch 5 | tr_loss=0.269 tr_acc=90.53 | te_loss=0.581 te_acc=81.74 | time=150.4
Epoch 6 | tr_loss=0.215 tr_acc=92.45 | te_loss=0.622 te_acc=81.92 | time=177.6
Epoch 7 | tr_loss=0.161 tr_acc=94.14 | te_loss=0.614 te_acc=82.41 | time=204.6
Epoch 8 | tr_loss=0.091 tr_acc=96.80 | te_loss=0.576 te_acc=84.58 | time=231.6
Epoch 9 | tr_loss=0.082 tr_acc=97.18 | te_loss=0.657 te_acc=83.63 | time=258.7
Epoch 10 | tr_loss=0.014 tr_acc=99.73 | te_loss=0.542 te_acc=86.53 | time=285.7
Epoch 11 | tr_loss=0.012 tr_acc=99.83 | te_loss=0.535 te_acc=86.68 | time=312.7
Epoch 12 | tr_loss=0.011 tr_acc=99.85 | te_loss=0.537 te_acc=86.64 | time=339.8
Epoch 13 | tr_loss=0.011 tr_acc=99.83 | te_loss=0.539 te_acc=86.79 | time=367.2
Epoch 14 | tr_loss=0.010 tr_acc=99.85 | te_loss=0.538 te_acc=86.56 | time=394.3
Epoch 15 | tr_loss=0.009 tr_acc=99.88 | te_loss=0.547 te_acc=86.76 | time=421.5
Epoch 16 | tr_loss=0.009 tr_acc=99.88 | te_loss=0.541 te_acc=86.68 | time=448.5
Epoch 17 | tr_loss=0.009 tr_acc=99.90 | te_loss=0.553 te_acc=86.68 | time=475.8
Epoch 18 | tr_loss=0.008 tr_acc=99.90 | te_loss=0.548 te_acc=86.64 | time=503.0
Epoch 19 | tr_loss=0.008 tr_acc=99.90 | te_loss=0.552 te_acc=86.67 | time=530.1
Epoch 20 | tr_loss=0.008 tr_acc=99.93 | te_loss=0.554 te_acc=86.70 | time=557.3
Epoch 21 | tr_loss=0.007 tr_acc=99.91 | te_loss=0.549 te_acc=86.75 | time=584.4
Epoch 22 | tr_loss=0.007 tr_acc=99.93 | te_loss=0.556 te_acc=86.90 | time=611.4
Epoch 23 | tr_loss=0.007 tr_acc=99.94 | te_loss=0.562 te_acc=86.75 | time=638.5
Epoch 24 | tr_loss=0.006 tr_acc=99.93 | te_loss=0.564 te_acc=86.91 | time=665.7
Epoch 25 | tr_loss=0.006 tr_acc=99.94 | te_loss=0.561 te_acc=86.81 | time=692.8
Epoch 26 | tr_loss=0.006 tr_acc=99.93 | te_loss=0.562 te_acc=86.76 | time=719.9
Epoch 27 | tr_loss=0.006 tr_acc=99.95 | te_loss=0.567 te_acc=86.71 | time=747.2
Epoch 28 | tr_loss=0.006 tr_acc=99.94 | te_loss=0.569 te_acc=86.86 | time=774.5
Epoch 29 | tr_loss=0.005 tr_acc=99.95 | te_loss=0.572 te_acc=86.65 | time=801.5
Epoch 30 | tr_loss=0.005 tr_acc=99.97 | te_loss=0.574 te_acc=86.77 | time=828.7
Epoch 31 | tr_loss=0.005 tr_acc=99.96 | te_loss=0.567 te_acc=86.89 | time=855.7
Epoch 32 | tr_loss=0.005 tr_acc=99.96 | te_loss=0.574 te_acc=86.75 | time=882.8
Epoch 33 | tr_loss=0.005 tr_acc=99.96 | te_loss=0.579 te_acc=86.79 | time=909.9
Epoch 34 | tr_loss=0.005 tr_acc=99.98 | te_loss=0.578 te_acc=86.71 | time=936.9
Epoch 35 | tr_loss=0.005 tr_acc=99.96 | te_loss=0.576 te_acc=86.93 | time=964.1
Epoch 36 | tr_loss=0.004 tr_acc=99.98 | te_loss=0.575 te_acc=86.78 | time=991.3
Epoch 37 | tr_loss=0.004 tr_acc=99.97 | te_loss=0.578 te_acc=86.81 | time=1018.6
Epoch 38 | tr_loss=0.004 tr_acc=99.97 | te_loss=0.583 te_acc=86.76 | time=1045.7
Epoch 39 | tr_loss=0.004 tr_acc=99.98 | te_loss=0.584 te_acc=86.71 | time=1072.6
Epoch 40 | tr_loss=0.004 tr_acc=99.97 | te_loss=0.581 te_acc=86.85 | time=1099.5
Epoch 41 | tr_loss=0.004 tr_acc=99.98 | te_loss=0.587 te_acc=86.83 | time=1126.9
Epoch 42 | tr_loss=0.004 tr_acc=99.99 | te_loss=0.580 te_acc=86.79 | time=1153.9
Epoch 43 | tr_loss=0.004 tr_acc=99.98 | te_loss=0.593 te_acc=86.90 | time=1181.0
Epoch 44 | tr_loss=0.003 tr_acc=99.98 | te_loss=0.584 te_acc=86.88 | time=1208.1
Epoch 45 | tr_loss=0.003 tr_acc=99.99 | te_loss=0.588 te_acc=86.87 | time=1235.3
Epoch 46 | tr_loss=0.003 tr_acc=99.98 | te_loss=0.595 te_acc=86.64 | time=1262.2
Epoch 47 | tr_loss=0.003 tr_acc=99.97 | te_loss=0.598 te_acc=86.89 | time=1289.2
Epoch 48 | tr_loss=0.003 tr_acc=99.99 | te_loss=0.596 te_acc=86.87 | time=1316.5
Epoch 49 | tr_loss=0.003 tr_acc=99.98 | te_loss=0.603 te_acc=86.73 | time=1343.8
Epoch 50 | tr_loss=0.003 tr_acc=99.99 | te_loss=0.591 te_acc=86.91 | time=1370.9
