Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='cifar10', data_aug=0, model='PreActResNet18', lr=0.01, batch_size=64, ssize=64, method=<Method.KLDRO: 2>)
initial seed = 5
Epoch 0 | tr_loss=2.315 tr_acc=9.02 | te_loss=2.315 te_acc=8.85 | time=6.9
Epoch 1 | tr_loss=1.722 tr_acc=45.27 | te_loss=1.718 te_acc=44.52 | time=34.2
Epoch 2 | tr_loss=1.355 tr_acc=57.60 | te_loss=1.376 te_acc=56.37 | time=61.4
Epoch 3 | tr_loss=1.237 tr_acc=64.66 | te_loss=1.253 te_acc=63.37 | time=88.6
Epoch 4 | tr_loss=1.171 tr_acc=63.09 | te_loss=1.194 te_acc=61.57 | time=116.0
Epoch 5 | tr_loss=0.982 tr_acc=73.76 | te_loss=1.028 te_acc=71.05 | time=143.1
Epoch 6 | tr_loss=0.924 tr_acc=70.85 | te_loss=0.990 te_acc=67.06 | time=170.3
Epoch 7 | tr_loss=0.803 tr_acc=76.78 | te_loss=0.886 te_acc=72.04 | time=197.6
Epoch 8 | tr_loss=0.661 tr_acc=82.84 | te_loss=0.756 te_acc=77.15 | time=224.9
Epoch 9 | tr_loss=0.640 tr_acc=84.78 | te_loss=0.739 te_acc=77.48 | time=252.1
Epoch 10 | tr_loss=0.275 tr_acc=93.04 | te_loss=0.489 te_acc=83.63 | time=279.3
Epoch 11 | tr_loss=0.196 tr_acc=95.10 | te_loss=0.467 te_acc=83.92 | time=306.5
Epoch 12 | tr_loss=0.149 tr_acc=96.41 | te_loss=0.482 te_acc=84.21 | time=333.8
Epoch 13 | tr_loss=0.096 tr_acc=97.75 | te_loss=0.512 te_acc=84.17 | time=361.1
Epoch 14 | tr_loss=0.072 tr_acc=98.53 | te_loss=0.541 te_acc=84.39 | time=388.2
Epoch 15 | tr_loss=0.049 tr_acc=98.98 | te_loss=0.580 te_acc=84.72 | time=415.4
Epoch 16 | tr_loss=0.032 tr_acc=99.50 | te_loss=0.607 te_acc=84.56 | time=442.7
Epoch 17 | tr_loss=0.023 tr_acc=99.62 | te_loss=0.656 te_acc=84.76 | time=469.8
Epoch 18 | tr_loss=0.018 tr_acc=99.83 | te_loss=0.653 te_acc=84.89 | time=497.1
Epoch 19 | tr_loss=0.016 tr_acc=99.86 | te_loss=0.645 te_acc=84.95 | time=524.2
Epoch 20 | tr_loss=0.015 tr_acc=99.88 | te_loss=0.654 te_acc=85.02 | time=551.1
Epoch 21 | tr_loss=0.015 tr_acc=99.89 | te_loss=0.658 te_acc=84.84 | time=578.3
Epoch 22 | tr_loss=0.014 tr_acc=99.91 | te_loss=0.660 te_acc=84.82 | time=605.5
Epoch 23 | tr_loss=0.013 tr_acc=99.93 | te_loss=0.671 te_acc=85.01 | time=632.6
Epoch 24 | tr_loss=0.012 tr_acc=99.92 | te_loss=0.680 te_acc=84.96 | time=659.8
Epoch 25 | tr_loss=0.012 tr_acc=99.92 | te_loss=0.672 te_acc=85.05 | time=687.0
Epoch 26 | tr_loss=0.011 tr_acc=99.95 | te_loss=0.681 te_acc=85.13 | time=714.2
Epoch 27 | tr_loss=0.011 tr_acc=99.94 | te_loss=0.681 te_acc=84.92 | time=741.3
Epoch 28 | tr_loss=0.011 tr_acc=99.93 | te_loss=0.688 te_acc=84.92 | time=768.2
Epoch 29 | tr_loss=0.010 tr_acc=99.94 | te_loss=0.696 te_acc=85.18 | time=795.4
Epoch 30 | tr_loss=0.010 tr_acc=99.95 | te_loss=0.693 te_acc=84.92 | time=822.6
Epoch 31 | tr_loss=0.010 tr_acc=99.96 | te_loss=0.687 te_acc=84.98 | time=849.8
Epoch 32 | tr_loss=0.010 tr_acc=99.94 | te_loss=0.696 te_acc=84.95 | time=876.9
Epoch 33 | tr_loss=0.009 tr_acc=99.95 | te_loss=0.709 te_acc=84.91 | time=904.0
