Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='cifar10', data_aug=0, model='PreActResNet18', lr=0.01, batch_size=64, ssize=64, method=<Method.FOCAL: 5>)
initial seed = 5
Epoch 0 | tr_loss=2.315 tr_acc=9.01 | te_loss=2.315 te_acc=8.86 | time=24.5
Epoch 1 | tr_loss=1.667 tr_acc=47.67 | te_loss=1.667 te_acc=47.65 | time=52.6
Epoch 2 | tr_loss=1.464 tr_acc=51.01 | te_loss=1.477 te_acc=50.95 | time=69.0
Epoch 3 | tr_loss=1.333 tr_acc=63.39 | te_loss=1.353 te_acc=61.97 | time=86.0
Epoch 4 | tr_loss=1.299 tr_acc=56.91 | te_loss=1.328 te_acc=54.98 | time=103.0
Epoch 5 | tr_loss=1.168 tr_acc=65.38 | te_loss=1.209 te_acc=62.35 | time=120.3
Epoch 6 | tr_loss=1.081 tr_acc=66.71 | te_loss=1.142 te_acc=62.82 | time=137.2
Epoch 7 | tr_loss=1.147 tr_acc=61.85 | te_loss=1.221 te_acc=56.86 | time=154.1
Epoch 8 | tr_loss=0.992 tr_acc=72.68 | te_loss=1.072 te_acc=66.51 | time=170.9
Epoch 9 | tr_loss=0.936 tr_acc=73.22 | te_loss=1.023 te_acc=66.76 | time=187.7
Epoch 10 | tr_loss=0.622 tr_acc=89.04 | te_loss=0.783 te_acc=78.87 | time=204.4
Epoch 11 | tr_loss=0.529 tr_acc=92.39 | te_loss=0.723 te_acc=81.23 | time=220.9
Epoch 12 | tr_loss=0.454 tr_acc=93.23 | te_loss=0.685 te_acc=80.69 | time=237.5
Epoch 13 | tr_loss=0.440 tr_acc=93.42 | te_loss=0.695 te_acc=79.63 | time=254.1
Epoch 14 | tr_loss=0.382 tr_acc=92.83 | te_loss=0.662 te_acc=78.55 | time=270.8
Epoch 15 | tr_loss=0.357 tr_acc=96.82 | te_loss=0.642 te_acc=81.43 | time=287.5
Epoch 16 | tr_loss=0.319 tr_acc=97.32 | te_loss=0.615 te_acc=81.89 | time=304.4
Epoch 17 | tr_loss=0.326 tr_acc=96.87 | te_loss=0.629 te_acc=81.18 | time=321.1
Epoch 18 | tr_loss=0.301 tr_acc=97.91 | te_loss=0.614 te_acc=81.44 | time=337.5
Epoch 19 | tr_loss=0.316 tr_acc=97.67 | te_loss=0.632 te_acc=81.40 | time=354.3
Epoch 20 | tr_loss=0.302 tr_acc=98.33 | te_loss=0.637 te_acc=81.35 | time=370.6
Epoch 21 | tr_loss=0.342 tr_acc=97.89 | te_loss=0.645 te_acc=81.08 | time=387.1
Epoch 22 | tr_loss=0.258 tr_acc=98.39 | te_loss=0.600 te_acc=82.41 | time=403.7
Epoch 23 | tr_loss=0.304 tr_acc=97.44 | te_loss=0.630 te_acc=80.70 | time=420.2
Epoch 24 | tr_loss=0.248 tr_acc=98.96 | te_loss=0.586 te_acc=81.92 | time=436.6
Epoch 25 | tr_loss=0.254 tr_acc=97.57 | te_loss=0.591 te_acc=81.19 | time=453.1
Epoch 26 | tr_loss=0.271 tr_acc=98.89 | te_loss=0.605 te_acc=81.99 | time=469.5
Epoch 27 | tr_loss=0.212 tr_acc=99.12 | te_loss=0.580 te_acc=82.21 | time=486.0
Epoch 28 | tr_loss=0.224 tr_acc=99.28 | te_loss=0.578 te_acc=82.36 | time=502.6
Epoch 29 | tr_loss=0.261 tr_acc=98.89 | te_loss=0.593 te_acc=82.48 | time=519.2
Epoch 30 | tr_loss=0.201 tr_acc=99.49 | te_loss=0.558 te_acc=83.24 | time=535.5
Epoch 31 | tr_loss=0.232 tr_acc=98.43 | te_loss=0.606 te_acc=81.45 | time=552.3
Epoch 32 | tr_loss=0.219 tr_acc=98.95 | te_loss=0.586 te_acc=81.68 | time=569.0
Epoch 33 | tr_loss=0.187 tr_acc=99.48 | te_loss=0.553 te_acc=82.75 | time=585.4
Epoch 34 | tr_loss=0.236 tr_acc=99.02 | te_loss=0.599 te_acc=81.74 | time=602.0
Epoch 35 | tr_loss=0.223 tr_acc=99.35 | te_loss=0.579 te_acc=82.52 | time=618.6
Epoch 36 | tr_loss=0.216 tr_acc=97.68 | te_loss=0.594 te_acc=80.50 | time=635.3
Epoch 37 | tr_loss=0.247 tr_acc=96.31 | te_loss=0.647 te_acc=79.81 | time=652.0
Epoch 38 | tr_loss=0.180 tr_acc=99.42 | te_loss=0.549 te_acc=82.90 | time=668.4
Epoch 39 | tr_loss=0.208 tr_acc=99.51 | te_loss=0.562 te_acc=83.13 | time=684.7
Epoch 40 | tr_loss=0.135 tr_acc=99.98 | te_loss=0.511 te_acc=84.34 | time=701.4
Epoch 41 | tr_loss=0.096 tr_acc=99.99 | te_loss=0.492 te_acc=84.42 | time=717.9
Epoch 42 | tr_loss=0.075 tr_acc=100.00 | te_loss=0.490 te_acc=84.24 | time=734.6
Epoch 43 | tr_loss=0.056 tr_acc=100.00 | te_loss=0.487 te_acc=84.46 | time=751.1
Epoch 44 | tr_loss=0.045 tr_acc=100.00 | te_loss=0.489 te_acc=84.39 | time=767.6
Epoch 45 | tr_loss=0.036 tr_acc=100.00 | te_loss=0.493 te_acc=84.41 | time=784.2
Epoch 46 | tr_loss=0.030 tr_acc=100.00 | te_loss=0.496 te_acc=84.63 | time=800.8
Epoch 47 | tr_loss=0.026 tr_acc=100.00 | te_loss=0.504 te_acc=84.48 | time=817.4
Epoch 48 | tr_loss=0.021 tr_acc=100.00 | te_loss=0.511 te_acc=84.58 | time=834.0
Epoch 49 | tr_loss=0.018 tr_acc=100.00 | te_loss=0.517 te_acc=84.54 | time=850.6
Epoch 50 | tr_loss=0.017 tr_acc=100.00 | te_loss=0.516 te_acc=84.54 | time=867.2
