Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='cifar100', data_aug=0, model='PreActResNet18', lr=0.01, batch_size=64, ssize=64, method=<Method.ORDERED: 1>)
initial seed = 5
Epoch 0 | q=64 | tr_loss=4.625 tr_acc=0.96 | te_loss=4.626 te_acc=0.91 | time=10.6
Epoch 1 | q=64 | tr_loss=2.849 tr_acc=27.45 | te_loss=2.889 te_acc=26.77 | time=39.8
Epoch 2 | q=64 | tr_loss=2.148 tr_acc=41.51 | te_loss=2.289 te_acc=38.89 | time=67.1
Epoch 3 | q=64 | tr_loss=1.766 tr_acc=50.34 | te_loss=2.037 te_acc=44.59 | time=94.2
Epoch 4 | q=64 | tr_loss=1.374 tr_acc=59.83 | te_loss=1.822 te_acc=49.94 | time=121.4
Epoch 5 | q=64 | tr_loss=1.086 tr_acc=67.55 | te_loss=1.724 te_acc=52.50 | time=148.5
Epoch 6 | q=64 | tr_loss=0.881 tr_acc=73.32 | te_loss=1.771 te_acc=53.67 | time=175.5
Epoch 7 | q=64 | tr_loss=0.679 tr_acc=78.97 | te_loss=1.793 te_acc=53.25 | time=202.6
Epoch 8 | q=64 | tr_loss=0.459 tr_acc=85.64 | te_loss=1.832 te_acc=55.22 | time=229.9
Epoch 9 | q=32 | tr_loss=0.757 tr_acc=76.93 | te_loss=1.855 te_acc=50.99 | time=259.4
Epoch 10 | q=32 | tr_loss=0.218 tr_acc=95.32 | te_loss=1.502 te_acc=59.96 | time=286.5
Epoch 11 | q=8 | tr_loss=0.181 tr_acc=96.60 | te_loss=1.645 te_acc=57.81 | time=313.8
Epoch 12 | q=8 | tr_loss=0.097 tr_acc=98.52 | te_loss=1.749 te_acc=58.42 | time=341.0
Epoch 13 | q=8 | tr_loss=0.051 tr_acc=99.44 | te_loss=1.833 te_acc=58.69 | time=368.1
Epoch 14 | q=8 | tr_loss=0.027 tr_acc=99.80 | te_loss=1.934 te_acc=59.32 | time=395.2
Epoch 15 | q=4 | tr_loss=0.016 tr_acc=99.95 | te_loss=1.892 te_acc=60.07 | time=422.4
Epoch 16 | q=4 | tr_loss=0.014 tr_acc=99.98 | te_loss=1.913 te_acc=60.11 | time=449.8
Epoch 17 | q=4 | tr_loss=0.012 tr_acc=99.98 | te_loss=1.886 te_acc=60.17 | time=476.9
Epoch 18 | q=4 | tr_loss=0.011 tr_acc=99.98 | te_loss=1.910 te_acc=60.45 | time=504.1
Epoch 19 | q=4 | tr_loss=0.011 tr_acc=99.98 | te_loss=1.906 te_acc=60.34 | time=531.2
Epoch 20 | q=4 | tr_loss=0.010 tr_acc=99.98 | te_loss=1.918 te_acc=60.31 | time=558.3
Epoch 21 | q=4 | tr_loss=0.009 tr_acc=99.97 | te_loss=1.923 te_acc=60.46 | time=585.5
Epoch 22 | q=4 | tr_loss=0.009 tr_acc=99.98 | te_loss=1.930 te_acc=60.19 | time=612.3
Epoch 23 | q=4 | tr_loss=0.009 tr_acc=99.98 | te_loss=1.933 te_acc=60.32 | time=639.4
Epoch 24 | q=4 | tr_loss=0.008 tr_acc=99.98 | te_loss=1.940 te_acc=60.20 | time=666.5
Epoch 25 | q=4 | tr_loss=0.008 tr_acc=99.97 | te_loss=1.955 te_acc=60.16 | time=693.6
Epoch 26 | q=4 | tr_loss=0.008 tr_acc=99.98 | te_loss=1.959 te_acc=60.14 | time=720.8
Epoch 27 | q=4 | tr_loss=0.007 tr_acc=99.98 | te_loss=1.963 te_acc=60.15 | time=747.9
Epoch 28 | q=4 | tr_loss=0.007 tr_acc=99.98 | te_loss=1.964 te_acc=60.31 | time=775.1
Epoch 29 | q=4 | tr_loss=0.007 tr_acc=99.98 | te_loss=1.967 te_acc=60.31 | time=802.3
Epoch 30 | q=4 | tr_loss=0.006 tr_acc=99.99 | te_loss=1.967 te_acc=60.35 | time=829.2
Epoch 31 | q=4 | tr_loss=0.006 tr_acc=99.98 | te_loss=1.983 te_acc=60.39 | time=856.5
Epoch 32 | q=4 | tr_loss=0.006 tr_acc=99.98 | te_loss=1.977 te_acc=60.39 | time=883.6
Epoch 33 | q=4 | tr_loss=0.006 tr_acc=99.98 | te_loss=1.999 te_acc=60.14 | time=910.6
Epoch 34 | q=4 | tr_loss=0.006 tr_acc=99.98 | te_loss=1.981 te_acc=60.24 | time=937.7
Epoch 35 | q=4 | tr_loss=0.006 tr_acc=99.98 | te_loss=2.001 te_acc=60.21 | time=964.8
Epoch 36 | q=4 | tr_loss=0.006 tr_acc=99.98 | te_loss=2.004 te_acc=60.03 | time=991.9
Epoch 37 | q=4 | tr_loss=0.005 tr_acc=99.98 | te_loss=2.013 te_acc=60.15 | time=1018.8
Epoch 38 | q=4 | tr_loss=0.005 tr_acc=99.99 | te_loss=2.022 te_acc=60.04 | time=1046.0
Epoch 39 | q=4 | tr_loss=0.005 tr_acc=99.98 | te_loss=2.020 te_acc=60.35 | time=1073.3
Epoch 40 | q=4 | tr_loss=0.005 tr_acc=99.98 | te_loss=2.031 te_acc=60.38 | time=1100.3
Epoch 41 | q=4 | tr_loss=0.005 tr_acc=99.98 | te_loss=2.040 te_acc=60.30 | time=1127.5
Epoch 42 | q=4 | tr_loss=0.005 tr_acc=99.98 | te_loss=2.035 te_acc=60.14 | time=1154.8
Epoch 43 | q=4 | tr_loss=0.005 tr_acc=99.98 | te_loss=2.033 te_acc=59.99 | time=1182.0
Epoch 44 | q=4 | tr_loss=0.005 tr_acc=99.98 | te_loss=2.040 te_acc=60.25 | time=1209.0
Epoch 45 | q=4 | tr_loss=0.004 tr_acc=99.98 | te_loss=2.049 te_acc=60.43 | time=1236.4
Epoch 46 | q=4 | tr_loss=0.004 tr_acc=99.98 | te_loss=2.053 te_acc=60.21 | time=1263.7
Epoch 47 | q=4 | tr_loss=0.004 tr_acc=99.98 | te_loss=2.049 te_acc=60.31 | time=1290.7
Epoch 48 | q=4 | tr_loss=0.004 tr_acc=99.97 | te_loss=2.053 te_acc=60.20 | time=1317.8
Epoch 49 | q=4 | tr_loss=0.004 tr_acc=99.98 | te_loss=2.058 te_acc=60.33 | time=1345.0
Epoch 50 | q=4 | tr_loss=0.004 tr_acc=99.98 | te_loss=2.056 te_acc=60.16 | time=1372.1
