Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='cifar100', data_aug=0, model='PreActResNet18', lr=0.01, batch_size=64, ssize=64, method=<Method.RANKED: 6>)
initial seed = 5
Epoch 0 | tr_loss=4.625 tr_acc=0.97 | te_loss=4.626 te_acc=0.91 | time=22.7
Epoch 1 | tr_loss=3.714 tr_acc=13.58 | te_loss=3.721 te_acc=13.86 | time=51.8
Epoch 2 | tr_loss=3.118 tr_acc=24.77 | te_loss=3.149 te_acc=24.93 | time=68.9
Epoch 3 | tr_loss=2.666 tr_acc=31.92 | te_loss=2.735 te_acc=30.21 | time=85.3
Epoch 4 | tr_loss=2.255 tr_acc=40.85 | te_loss=2.389 te_acc=38.65 | time=102.1
Epoch 5 | tr_loss=1.898 tr_acc=48.43 | te_loss=2.098 te_acc=43.49 | time=119.0
Epoch 6 | tr_loss=1.624 tr_acc=53.66 | te_loss=1.958 te_acc=45.63 | time=135.5
Epoch 7 | tr_loss=1.314 tr_acc=61.84 | te_loss=1.796 te_acc=49.00 | time=152.2
Epoch 8 | tr_loss=1.116 tr_acc=68.01 | te_loss=1.730 te_acc=51.16 | time=168.7
Epoch 9 | tr_loss=0.963 tr_acc=72.67 | te_loss=1.744 te_acc=50.99 | time=185.8
Epoch 10 | tr_loss=0.362 tr_acc=89.86 | te_loss=1.622 te_acc=57.63 | time=202.6
Epoch 11 | tr_loss=0.249 tr_acc=93.99 | te_loss=1.716 te_acc=57.71 | time=219.3
Epoch 12 | tr_loss=0.171 tr_acc=96.71 | te_loss=1.823 te_acc=57.73 | time=235.8
Epoch 13 | tr_loss=0.115 tr_acc=98.32 | te_loss=1.944 te_acc=57.51 | time=252.5
Epoch 14 | tr_loss=0.079 tr_acc=99.00 | te_loss=2.047 te_acc=57.30 | time=269.4
Epoch 15 | tr_loss=0.051 tr_acc=99.61 | te_loss=2.166 te_acc=57.27 | time=286.1
Epoch 16 | tr_loss=0.040 tr_acc=99.83 | te_loss=2.169 te_acc=57.48 | time=302.7
Epoch 17 | tr_loss=0.036 tr_acc=99.88 | te_loss=2.159 te_acc=57.50 | time=319.6
Epoch 18 | tr_loss=0.034 tr_acc=99.89 | te_loss=2.177 te_acc=57.50 | time=336.4
Epoch 19 | tr_loss=0.033 tr_acc=99.89 | te_loss=2.191 te_acc=57.66 | time=353.6
Epoch 20 | tr_loss=0.031 tr_acc=99.93 | te_loss=2.193 te_acc=57.72 | time=370.3
Epoch 21 | tr_loss=0.030 tr_acc=99.92 | te_loss=2.213 te_acc=57.40 | time=387.1
Epoch 22 | tr_loss=0.029 tr_acc=99.95 | te_loss=2.215 te_acc=57.55 | time=403.8
Epoch 23 | tr_loss=0.027 tr_acc=99.93 | te_loss=2.228 te_acc=57.51 | time=420.6
Epoch 24 | tr_loss=0.026 tr_acc=99.96 | te_loss=2.225 te_acc=57.54 | time=437.7
Epoch 25 | tr_loss=0.025 tr_acc=99.95 | te_loss=2.256 te_acc=57.21 | time=454.5
Epoch 26 | tr_loss=0.024 tr_acc=99.96 | te_loss=2.257 te_acc=57.33 | time=471.2
Epoch 27 | tr_loss=0.024 tr_acc=99.94 | te_loss=2.261 te_acc=57.53 | time=488.2
Epoch 28 | tr_loss=0.023 tr_acc=99.96 | te_loss=2.269 te_acc=57.60 | time=505.0
Epoch 29 | tr_loss=0.022 tr_acc=99.96 | te_loss=2.281 te_acc=57.48 | time=521.9
Epoch 30 | tr_loss=0.021 tr_acc=99.96 | te_loss=2.283 te_acc=57.47 | time=538.6
Epoch 31 | tr_loss=0.020 tr_acc=99.97 | te_loss=2.305 te_acc=57.28 | time=555.2
Epoch 32 | tr_loss=0.020 tr_acc=99.95 | te_loss=2.300 te_acc=57.13 | time=571.8
Epoch 33 | tr_loss=0.019 tr_acc=99.96 | te_loss=2.312 te_acc=57.21 | time=588.3
Epoch 34 | tr_loss=0.019 tr_acc=99.98 | te_loss=2.321 te_acc=57.20 | time=605.0
Epoch 35 | tr_loss=0.018 tr_acc=99.97 | te_loss=2.329 te_acc=57.43 | time=621.7
Epoch 36 | tr_loss=0.018 tr_acc=99.96 | te_loss=2.339 te_acc=57.36 | time=638.4
Epoch 37 | tr_loss=0.017 tr_acc=99.98 | te_loss=2.352 te_acc=57.12 | time=655.0
Epoch 38 | tr_loss=0.017 tr_acc=99.96 | te_loss=2.350 te_acc=57.44 | time=671.9
Epoch 39 | tr_loss=0.016 tr_acc=99.97 | te_loss=2.347 te_acc=57.26 | time=688.8
Epoch 40 | tr_loss=0.016 tr_acc=99.97 | te_loss=2.361 te_acc=57.39 | time=705.6
Epoch 41 | tr_loss=0.015 tr_acc=99.97 | te_loss=2.367 te_acc=57.33 | time=722.3
Epoch 42 | tr_loss=0.015 tr_acc=99.98 | te_loss=2.375 te_acc=57.18 | time=739.2
Epoch 43 | tr_loss=0.015 tr_acc=99.97 | te_loss=2.383 te_acc=57.24 | time=755.8
Epoch 44 | tr_loss=0.014 tr_acc=99.98 | te_loss=2.386 te_acc=57.24 | time=772.5
Epoch 45 | tr_loss=0.014 tr_acc=99.98 | te_loss=2.391 te_acc=57.31 | time=789.2
Epoch 46 | tr_loss=0.014 tr_acc=99.97 | te_loss=2.399 te_acc=57.30 | time=806.3
Epoch 47 | tr_loss=0.013 tr_acc=99.98 | te_loss=2.407 te_acc=57.39 | time=822.7
Epoch 48 | tr_loss=0.013 tr_acc=99.97 | te_loss=2.403 te_acc=57.46 | time=839.5
Epoch 49 | tr_loss=0.013 tr_acc=99.98 | te_loss=2.404 te_acc=57.24 | time=856.1
Epoch 50 | tr_loss=0.013 tr_acc=99.97 | te_loss=2.411 te_acc=57.32 | time=873.2
