Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='cifar100', data_aug=0, model='PreActResNet18', lr=0.01, batch_size=64, ssize=64, method=<Method.ZSCORE: 3>)
initial seed = 5
Epoch 0 | tr_loss=4.625 tr_acc=0.96 | te_loss=4.626 te_acc=0.91 | time=22.1
Epoch 1 | tr_loss=4.573 tr_acc=2.61 | te_loss=4.574 te_acc=2.57 | time=57.5
Epoch 2 | tr_loss=4.478 tr_acc=5.28 | te_loss=4.476 te_acc=5.21 | time=84.7
Epoch 3 | tr_loss=4.433 tr_acc=5.62 | te_loss=4.418 te_acc=5.64 | time=112.1
Epoch 4 | tr_loss=4.273 tr_acc=8.25 | te_loss=4.267 te_acc=8.28 | time=139.4
Epoch 5 | tr_loss=4.160 tr_acc=9.63 | te_loss=4.131 te_acc=9.39 | time=166.5
Epoch 6 | tr_loss=4.078 tr_acc=10.90 | te_loss=4.054 te_acc=10.70 | time=193.8
Epoch 7 | tr_loss=3.931 tr_acc=13.52 | te_loss=3.906 te_acc=13.63 | time=221.3
Epoch 8 | tr_loss=3.857 tr_acc=15.23 | te_loss=3.868 te_acc=15.30 | time=249.0
Epoch 9 | tr_loss=3.732 tr_acc=16.03 | te_loss=3.740 te_acc=16.17 | time=276.7
Epoch 10 | tr_loss=3.423 tr_acc=21.28 | te_loss=3.444 te_acc=21.90 | time=304.1
Epoch 11 | tr_loss=3.350 tr_acc=22.41 | te_loss=3.384 te_acc=23.10 | time=331.4
Epoch 12 | tr_loss=3.283 tr_acc=23.29 | te_loss=3.321 te_acc=23.27 | time=358.8
Epoch 13 | tr_loss=3.201 tr_acc=24.59 | te_loss=3.258 te_acc=24.59 | time=386.5
Epoch 14 | tr_loss=3.157 tr_acc=24.72 | te_loss=3.222 te_acc=24.67 | time=413.8
Epoch 15 | tr_loss=3.104 tr_acc=25.97 | te_loss=3.200 te_acc=25.70 | time=441.2
Epoch 16 | tr_loss=3.048 tr_acc=27.08 | te_loss=3.144 te_acc=26.23 | time=469.1
Epoch 17 | tr_loss=2.949 tr_acc=27.95 | te_loss=3.080 te_acc=26.53 | time=496.1
Epoch 18 | tr_loss=2.893 tr_acc=29.06 | te_loss=3.042 te_acc=26.87 | time=523.4
Epoch 19 | tr_loss=2.796 tr_acc=30.79 | te_loss=2.974 te_acc=28.68 | time=550.6
Epoch 20 | tr_loss=2.730 tr_acc=31.19 | te_loss=2.931 te_acc=28.64 | time=578.3
Epoch 21 | tr_loss=2.617 tr_acc=33.39 | te_loss=2.867 te_acc=30.05 | time=605.8
Epoch 22 | tr_loss=2.551 tr_acc=35.29 | te_loss=2.833 te_acc=31.14 | time=633.3
Epoch 23 | tr_loss=2.463 tr_acc=36.58 | te_loss=2.786 te_acc=31.83 | time=660.4
Epoch 24 | tr_loss=2.426 tr_acc=38.09 | te_loss=2.771 te_acc=31.66 | time=687.7
Epoch 25 | tr_loss=2.306 tr_acc=40.52 | te_loss=2.706 te_acc=32.98 | time=715.2
Epoch 26 | tr_loss=2.225 tr_acc=42.31 | te_loss=2.672 te_acc=32.53 | time=742.6
Epoch 27 | tr_loss=2.153 tr_acc=43.05 | te_loss=2.660 te_acc=33.23 | time=770.0
Epoch 28 | tr_loss=2.016 tr_acc=46.17 | te_loss=2.563 te_acc=34.68 | time=797.6
Epoch 29 | tr_loss=1.977 tr_acc=48.53 | te_loss=2.549 te_acc=35.19 | time=825.1
Epoch 30 | tr_loss=1.869 tr_acc=50.70 | te_loss=2.515 te_acc=35.51 | time=852.4
Epoch 31 | tr_loss=1.786 tr_acc=52.79 | te_loss=2.481 te_acc=35.70 | time=879.9
Epoch 32 | tr_loss=1.743 tr_acc=53.92 | te_loss=2.505 te_acc=35.50 | time=907.3
Epoch 33 | tr_loss=1.656 tr_acc=55.63 | te_loss=2.434 te_acc=36.17 | time=934.8
Epoch 34 | tr_loss=1.589 tr_acc=58.33 | te_loss=2.425 te_acc=37.01 | time=962.3
Epoch 35 | tr_loss=1.507 tr_acc=61.05 | te_loss=2.413 te_acc=37.20 | time=989.5
Epoch 36 | tr_loss=1.480 tr_acc=60.83 | te_loss=2.416 te_acc=36.88 | time=1016.9
Epoch 37 | tr_loss=1.402 tr_acc=63.30 | te_loss=2.397 te_acc=37.04 | time=1044.5
Epoch 38 | tr_loss=1.357 tr_acc=64.84 | te_loss=2.407 te_acc=37.16 | time=1071.8
Epoch 39 | tr_loss=1.272 tr_acc=67.57 | te_loss=2.355 te_acc=38.40 | time=1099.2
Epoch 40 | tr_loss=1.256 tr_acc=67.44 | te_loss=2.389 te_acc=37.30 | time=1126.7
Epoch 41 | tr_loss=1.202 tr_acc=69.18 | te_loss=2.353 te_acc=38.12 | time=1154.0
Epoch 42 | tr_loss=1.137 tr_acc=70.13 | te_loss=2.351 te_acc=38.53 | time=1181.6
Epoch 43 | tr_loss=1.104 tr_acc=71.49 | te_loss=2.364 te_acc=38.52 | time=1208.7
Epoch 44 | tr_loss=1.086 tr_acc=72.26 | te_loss=2.363 te_acc=39.19 | time=1236.1
Epoch 45 | tr_loss=1.019 tr_acc=74.24 | te_loss=2.307 te_acc=40.00 | time=1263.4
Epoch 46 | tr_loss=0.981 tr_acc=75.12 | te_loss=2.343 te_acc=39.84 | time=1291.0
Epoch 47 | tr_loss=0.964 tr_acc=74.79 | te_loss=2.396 te_acc=38.35 | time=1318.2
Epoch 48 | tr_loss=0.874 tr_acc=79.17 | te_loss=2.309 te_acc=40.32 | time=1345.9
Epoch 49 | tr_loss=0.923 tr_acc=77.20 | te_loss=2.362 te_acc=39.39 | time=1373.5
Epoch 50 | tr_loss=0.670 tr_acc=88.12 | te_loss=2.166 te_acc=43.59 | time=1401.0
