Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='mnist', data_aug=0, model='LeNet', lr=0.01, batch_size=64, ssize=64, method=<Method.SGD: 0>)
initial seed = 5
Epoch 0 | tr_loss=2.304 tr_acc=9.69 | te_loss=2.303 te_acc=10.49 | time=18.3
Epoch 1 | tr_loss=0.080 tr_acc=97.60 | te_loss=0.056 te_acc=98.34 | time=29.5
Epoch 2 | tr_loss=0.051 tr_acc=98.43 | te_loss=0.040 te_acc=98.65 | time=37.1
Epoch 3 | tr_loss=0.038 tr_acc=98.82 | te_loss=0.029 te_acc=99.00 | time=44.8
Epoch 4 | tr_loss=0.029 tr_acc=99.13 | te_loss=0.027 te_acc=99.04 | time=52.7
Epoch 5 | tr_loss=0.022 tr_acc=99.29 | te_loss=0.024 te_acc=99.14 | time=60.8
Epoch 6 | tr_loss=0.022 tr_acc=99.29 | te_loss=0.023 te_acc=99.19 | time=68.4
Epoch 7 | tr_loss=0.019 tr_acc=99.42 | te_loss=0.023 te_acc=99.23 | time=76.4
Epoch 8 | tr_loss=0.016 tr_acc=99.49 | te_loss=0.022 te_acc=99.32 | time=84.2
Epoch 9 | tr_loss=0.016 tr_acc=99.53 | te_loss=0.023 te_acc=99.24 | time=91.7
Epoch 10 | tr_loss=0.013 tr_acc=99.59 | te_loss=0.021 te_acc=99.30 | time=99.3
Epoch 11 | tr_loss=0.012 tr_acc=99.66 | te_loss=0.020 te_acc=99.30 | time=107.2
Epoch 12 | tr_loss=0.012 tr_acc=99.66 | te_loss=0.020 te_acc=99.31 | time=114.6
Epoch 13 | tr_loss=0.012 tr_acc=99.66 | te_loss=0.019 te_acc=99.31 | time=122.4
Epoch 14 | tr_loss=0.012 tr_acc=99.67 | te_loss=0.019 te_acc=99.30 | time=130.6
Epoch 15 | tr_loss=0.012 tr_acc=99.66 | te_loss=0.019 te_acc=99.33 | time=138.2
Epoch 16 | tr_loss=0.011 tr_acc=99.70 | te_loss=0.019 te_acc=99.33 | time=146.1
Epoch 17 | tr_loss=0.011 tr_acc=99.68 | te_loss=0.019 te_acc=99.34 | time=153.7
Epoch 18 | tr_loss=0.011 tr_acc=99.69 | te_loss=0.019 te_acc=99.35 | time=161.3
Epoch 19 | tr_loss=0.011 tr_acc=99.68 | te_loss=0.019 te_acc=99.35 | time=168.9
Epoch 20 | tr_loss=0.011 tr_acc=99.68 | te_loss=0.019 te_acc=99.34 | time=176.8
Epoch 21 | tr_loss=0.011 tr_acc=99.67 | te_loss=0.019 te_acc=99.35 | time=184.4
Epoch 22 | tr_loss=0.010 tr_acc=99.71 | te_loss=0.019 te_acc=99.36 | time=192.2
Epoch 23 | tr_loss=0.010 tr_acc=99.72 | te_loss=0.019 te_acc=99.36 | time=200.1
Epoch 24 | tr_loss=0.010 tr_acc=99.69 | te_loss=0.019 te_acc=99.35 | time=208.0
Epoch 25 | tr_loss=0.010 tr_acc=99.72 | te_loss=0.018 te_acc=99.36 | time=216.0
Epoch 26 | tr_loss=0.010 tr_acc=99.69 | te_loss=0.018 te_acc=99.37 | time=224.2
Epoch 27 | tr_loss=0.010 tr_acc=99.72 | te_loss=0.018 te_acc=99.37 | time=232.0
Epoch 28 | tr_loss=0.010 tr_acc=99.70 | te_loss=0.018 te_acc=99.37 | time=240.2
Epoch 29 | tr_loss=0.010 tr_acc=99.73 | te_loss=0.018 te_acc=99.37 | time=247.9
Epoch 30 | tr_loss=0.010 tr_acc=99.73 | te_loss=0.018 te_acc=99.37 | time=255.5
Epoch 31 | tr_loss=0.010 tr_acc=99.72 | te_loss=0.018 te_acc=99.37 | time=263.2
Epoch 32 | tr_loss=0.010 tr_acc=99.71 | te_loss=0.018 te_acc=99.38 | time=271.3
Epoch 33 | tr_loss=0.010 tr_acc=99.74 | te_loss=0.018 te_acc=99.38 | time=279.3
Epoch 34 | tr_loss=0.009 tr_acc=99.71 | te_loss=0.018 te_acc=99.37 | time=287.2
Epoch 35 | tr_loss=0.009 tr_acc=99.76 | te_loss=0.018 te_acc=99.37 | time=295.0
Epoch 36 | tr_loss=0.009 tr_acc=99.76 | te_loss=0.018 te_acc=99.37 | time=302.8
Epoch 37 | tr_loss=0.009 tr_acc=99.78 | te_loss=0.018 te_acc=99.39 | time=310.4
Epoch 38 | tr_loss=0.010 tr_acc=99.74 | te_loss=0.018 te_acc=99.37 | time=318.1
Epoch 39 | tr_loss=0.009 tr_acc=99.72 | te_loss=0.018 te_acc=99.38 | time=326.0
Epoch 40 | tr_loss=0.009 tr_acc=99.73 | te_loss=0.018 te_acc=99.39 | time=333.6
Epoch 41 | tr_loss=0.009 tr_acc=99.74 | te_loss=0.018 te_acc=99.38 | time=341.5
Epoch 42 | tr_loss=0.009 tr_acc=99.76 | te_loss=0.018 te_acc=99.38 | time=349.2
Epoch 43 | tr_loss=0.009 tr_acc=99.77 | te_loss=0.018 te_acc=99.39 | time=357.2
Epoch 44 | tr_loss=0.009 tr_acc=99.75 | te_loss=0.018 te_acc=99.41 | time=364.7
Epoch 45 | tr_loss=0.009 tr_acc=99.75 | te_loss=0.018 te_acc=99.40 | time=372.4
Epoch 46 | tr_loss=0.009 tr_acc=99.73 | te_loss=0.018 te_acc=99.40 | time=380.0
Epoch 47 | tr_loss=0.008 tr_acc=99.80 | te_loss=0.018 te_acc=99.41 | time=387.7
Epoch 48 | tr_loss=0.009 tr_acc=99.74 | te_loss=0.018 te_acc=99.39 | time=395.5
Epoch 49 | tr_loss=0.009 tr_acc=99.75 | te_loss=0.018 te_acc=99.40 | time=403.1
Epoch 50 | tr_loss=0.009 tr_acc=99.72 | te_loss=0.018 te_acc=99.40 | time=411.0
