Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='mnist', data_aug=0, model='LeNet', lr=0.01, batch_size=64, ssize=64, method=<Method.KLDRO: 2>)
initial seed = 5
Epoch 0 | tr_loss=2.304 tr_acc=9.69 | te_loss=2.303 te_acc=10.49 | time=4.1
Epoch 1 | tr_loss=0.560 tr_acc=90.37 | te_loss=0.483 te_acc=94.16 | time=12.5
Epoch 2 | tr_loss=1.065 tr_acc=76.27 | te_loss=0.998 te_acc=82.54 | time=20.4
Epoch 3 | tr_loss=0.496 tr_acc=90.15 | te_loss=0.422 te_acc=93.25 | time=28.2
Epoch 4 | tr_loss=0.825 tr_acc=85.38 | te_loss=0.757 te_acc=90.41 | time=36.2
Epoch 5 | tr_loss=0.556 tr_acc=88.30 | te_loss=0.482 te_acc=92.26 | time=43.9
Epoch 6 | tr_loss=0.546 tr_acc=88.87 | te_loss=0.476 te_acc=91.97 | time=51.6
Epoch 7 | tr_loss=0.733 tr_acc=86.15 | te_loss=0.670 te_acc=90.90 | time=59.4
Epoch 8 | tr_loss=0.753 tr_acc=80.06 | te_loss=0.657 te_acc=86.79 | time=67.3
Epoch 9 | tr_loss=0.411 tr_acc=90.03 | te_loss=0.332 te_acc=92.83 | time=74.9
Epoch 10 | tr_loss=0.325 tr_acc=93.89 | te_loss=0.269 te_acc=95.47 | time=82.8
Epoch 11 | tr_loss=0.298 tr_acc=94.70 | te_loss=0.250 te_acc=96.09 | time=90.6
Epoch 12 | tr_loss=0.269 tr_acc=95.17 | te_loss=0.227 te_acc=96.24 | time=98.5
Epoch 13 | tr_loss=0.233 tr_acc=95.46 | te_loss=0.196 te_acc=96.23 | time=106.7
Epoch 14 | tr_loss=0.223 tr_acc=95.57 | te_loss=0.187 te_acc=96.57 | time=114.7
Epoch 15 | tr_loss=0.182 tr_acc=96.32 | te_loss=0.154 te_acc=96.94 | time=122.7
Epoch 16 | tr_loss=0.182 tr_acc=96.42 | te_loss=0.156 te_acc=96.92 | time=130.9
Epoch 17 | tr_loss=0.156 tr_acc=96.88 | te_loss=0.134 te_acc=97.24 | time=138.6
Epoch 18 | tr_loss=0.179 tr_acc=96.74 | te_loss=0.152 te_acc=97.32 | time=146.6
Epoch 19 | tr_loss=0.146 tr_acc=96.99 | te_loss=0.125 te_acc=97.35 | time=154.5
Epoch 20 | tr_loss=0.166 tr_acc=97.24 | te_loss=0.144 te_acc=97.47 | time=162.5
Epoch 21 | tr_loss=0.141 tr_acc=97.29 | te_loss=0.121 te_acc=97.41 | time=170.3
Epoch 22 | tr_loss=0.158 tr_acc=97.25 | te_loss=0.138 te_acc=97.46 | time=178.1
Epoch 23 | tr_loss=0.128 tr_acc=97.39 | te_loss=0.112 te_acc=97.46 | time=186.1
Epoch 24 | tr_loss=0.116 tr_acc=97.69 | te_loss=0.102 te_acc=97.81 | time=194.4
Epoch 25 | tr_loss=0.100 tr_acc=97.69 | te_loss=0.090 te_acc=97.78 | time=202.4
Epoch 26 | tr_loss=0.101 tr_acc=97.83 | te_loss=0.092 te_acc=97.67 | time=210.2
Epoch 27 | tr_loss=0.121 tr_acc=97.86 | te_loss=0.108 te_acc=97.71 | time=218.1
Epoch 28 | tr_loss=0.107 tr_acc=97.73 | te_loss=0.096 te_acc=97.82 | time=226.3
Epoch 29 | tr_loss=0.090 tr_acc=98.10 | te_loss=0.083 te_acc=97.93 | time=234.0
