Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='mnist', data_aug=0, model='LeNet', lr=0.01, batch_size=64, ssize=64, method=<Method.FOCAL: 5>)
initial seed = 5
Epoch 0 | tr_loss=2.304 tr_acc=9.69 | te_loss=2.303 te_acc=10.49 | time=4.1
Epoch 1 | tr_loss=0.678 tr_acc=90.83 | te_loss=0.636 te_acc=93.98 | time=13.8
Epoch 2 | tr_loss=0.514 tr_acc=95.73 | te_loss=0.488 te_acc=97.05 | time=21.8
Epoch 3 | tr_loss=0.275 tr_acc=97.76 | te_loss=0.247 te_acc=98.40 | time=29.7
Epoch 4 | tr_loss=0.679 tr_acc=93.99 | te_loss=0.656 te_acc=95.67 | time=37.5
Epoch 5 | tr_loss=0.420 tr_acc=96.04 | te_loss=0.393 te_acc=97.15 | time=45.5
Epoch 6 | tr_loss=0.399 tr_acc=94.33 | te_loss=0.370 te_acc=96.65 | time=53.9
Epoch 7 | tr_loss=0.357 tr_acc=97.74 | te_loss=0.337 te_acc=98.36 | time=61.9
Epoch 8 | tr_loss=0.334 tr_acc=97.09 | te_loss=0.312 te_acc=98.06 | time=70.7
Epoch 9 | tr_loss=0.345 tr_acc=97.61 | te_loss=0.320 te_acc=98.37 | time=78.7
Epoch 10 | tr_loss=0.177 tr_acc=99.37 | te_loss=0.170 te_acc=99.15 | time=86.7
Epoch 11 | tr_loss=0.151 tr_acc=99.57 | te_loss=0.149 te_acc=99.26 | time=94.7
Epoch 12 | tr_loss=0.136 tr_acc=99.66 | te_loss=0.135 te_acc=99.30 | time=103.0
Epoch 13 | tr_loss=0.134 tr_acc=99.69 | te_loss=0.133 te_acc=99.34 | time=111.5
Epoch 14 | tr_loss=0.127 tr_acc=99.71 | te_loss=0.126 te_acc=99.37 | time=120.1
Epoch 15 | tr_loss=0.121 tr_acc=99.71 | te_loss=0.121 te_acc=99.39 | time=128.3
Epoch 16 | tr_loss=0.119 tr_acc=99.74 | te_loss=0.119 te_acc=99.37 | time=136.8
Epoch 17 | tr_loss=0.113 tr_acc=99.75 | te_loss=0.114 te_acc=99.39 | time=144.9
Epoch 18 | tr_loss=0.110 tr_acc=99.72 | te_loss=0.110 te_acc=99.38 | time=153.1
Epoch 19 | tr_loss=0.109 tr_acc=99.75 | te_loss=0.110 te_acc=99.42 | time=161.1
Epoch 20 | tr_loss=0.106 tr_acc=99.77 | te_loss=0.107 te_acc=99.37 | time=169.0
Epoch 21 | tr_loss=0.101 tr_acc=99.82 | te_loss=0.103 te_acc=99.43 | time=177.0
Epoch 22 | tr_loss=0.099 tr_acc=99.79 | te_loss=0.101 te_acc=99.37 | time=184.8
Epoch 23 | tr_loss=0.096 tr_acc=99.81 | te_loss=0.098 te_acc=99.41 | time=192.8
Epoch 24 | tr_loss=0.094 tr_acc=99.85 | te_loss=0.097 te_acc=99.40 | time=200.5
Epoch 25 | tr_loss=0.094 tr_acc=99.84 | te_loss=0.096 te_acc=99.40 | time=208.3
Epoch 26 | tr_loss=0.091 tr_acc=99.81 | te_loss=0.094 te_acc=99.39 | time=216.4
Epoch 27 | tr_loss=0.088 tr_acc=99.85 | te_loss=0.091 te_acc=99.44 | time=224.4
Epoch 28 | tr_loss=0.086 tr_acc=99.83 | te_loss=0.089 te_acc=99.42 | time=232.3
Epoch 29 | tr_loss=0.084 tr_acc=99.84 | te_loss=0.087 te_acc=99.40 | time=240.3
Epoch 30 | tr_loss=0.079 tr_acc=99.87 | te_loss=0.083 te_acc=99.43 | time=248.2
Epoch 31 | tr_loss=0.078 tr_acc=99.88 | te_loss=0.082 te_acc=99.41 | time=255.9
Epoch 32 | tr_loss=0.077 tr_acc=99.89 | te_loss=0.081 te_acc=99.42 | time=263.8
Epoch 33 | tr_loss=0.077 tr_acc=99.90 | te_loss=0.081 te_acc=99.42 | time=271.7
Epoch 34 | tr_loss=0.074 tr_acc=99.88 | te_loss=0.078 te_acc=99.43 | time=279.4
Epoch 35 | tr_loss=0.073 tr_acc=99.87 | te_loss=0.077 te_acc=99.40 | time=287.3
Epoch 36 | tr_loss=0.071 tr_acc=99.88 | te_loss=0.075 te_acc=99.44 | time=295.6
