Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='mnist', data_aug=0, model='LeNet', lr=0.01, batch_size=64, ssize=64, method=<Method.ORDERED: 1>)
initial seed = 5
Epoch 0 | q=64 | tr_loss=2.304 tr_acc=9.69 | te_loss=2.303 te_acc=10.49 | time=4.1
Epoch 1 | q=64 | tr_loss=0.080 tr_acc=97.60 | te_loss=0.056 te_acc=98.34 | time=11.7
Epoch 2 | q=8 | tr_loss=0.067 tr_acc=97.99 | te_loss=0.052 te_acc=98.36 | time=21.4
Epoch 3 | q=8 | tr_loss=0.039 tr_acc=98.80 | te_loss=0.034 te_acc=98.89 | time=29.2
Epoch 4 | q=8 | tr_loss=0.030 tr_acc=99.10 | te_loss=0.033 te_acc=99.04 | time=36.8
Epoch 5 | q=8 | tr_loss=0.024 tr_acc=99.22 | te_loss=0.027 te_acc=99.25 | time=44.4
Epoch 6 | q=8 | tr_loss=0.019 tr_acc=99.43 | te_loss=0.025 te_acc=99.22 | time=52.0
Epoch 7 | q=8 | tr_loss=0.021 tr_acc=99.33 | te_loss=0.033 te_acc=99.06 | time=59.6
Epoch 8 | q=8 | tr_loss=0.016 tr_acc=99.51 | te_loss=0.028 te_acc=99.22 | time=67.1
Epoch 9 | q=4 | tr_loss=0.004 tr_acc=99.88 | te_loss=0.021 te_acc=99.45 | time=74.6
Epoch 10 | q=4 | tr_loss=0.003 tr_acc=99.90 | te_loss=0.020 te_acc=99.48 | time=82.0
Epoch 11 | q=4 | tr_loss=0.003 tr_acc=99.90 | te_loss=0.020 te_acc=99.46 | time=89.7
Epoch 12 | q=4 | tr_loss=0.003 tr_acc=99.91 | te_loss=0.020 te_acc=99.49 | time=97.4
Epoch 13 | q=4 | tr_loss=0.003 tr_acc=99.91 | te_loss=0.020 te_acc=99.47 | time=105.3
Epoch 14 | q=4 | tr_loss=0.002 tr_acc=99.93 | te_loss=0.020 te_acc=99.49 | time=113.2
Epoch 15 | q=4 | tr_loss=0.003 tr_acc=99.92 | te_loss=0.020 te_acc=99.48 | time=120.9
Epoch 16 | q=4 | tr_loss=0.002 tr_acc=99.94 | te_loss=0.020 te_acc=99.46 | time=128.8
Epoch 17 | q=4 | tr_loss=0.003 tr_acc=99.92 | te_loss=0.020 te_acc=99.48 | time=136.6
Epoch 18 | q=4 | tr_loss=0.002 tr_acc=99.93 | te_loss=0.020 te_acc=99.48 | time=145.1
Epoch 19 | q=4 | tr_loss=0.002 tr_acc=99.94 | te_loss=0.020 te_acc=99.48 | time=153.7
Epoch 20 | q=4 | tr_loss=0.002 tr_acc=99.94 | te_loss=0.020 te_acc=99.47 | time=161.2
Epoch 21 | q=4 | tr_loss=0.002 tr_acc=99.93 | te_loss=0.020 te_acc=99.50 | time=169.1
Epoch 22 | q=4 | tr_loss=0.002 tr_acc=99.95 | te_loss=0.020 te_acc=99.50 | time=176.8
Epoch 23 | q=4 | tr_loss=0.002 tr_acc=99.94 | te_loss=0.021 te_acc=99.48 | time=184.6
Epoch 24 | q=4 | tr_loss=0.002 tr_acc=99.96 | te_loss=0.021 te_acc=99.47 | time=192.5
Epoch 25 | q=4 | tr_loss=0.002 tr_acc=99.95 | te_loss=0.021 te_acc=99.47 | time=200.2
Epoch 26 | q=4 | tr_loss=0.002 tr_acc=99.95 | te_loss=0.021 te_acc=99.47 | time=208.1
Epoch 27 | q=4 | tr_loss=0.002 tr_acc=99.94 | te_loss=0.021 te_acc=99.48 | time=216.4
Epoch 28 | q=4 | tr_loss=0.002 tr_acc=99.94 | te_loss=0.021 te_acc=99.48 | time=224.1
Epoch 29 | q=4 | tr_loss=0.002 tr_acc=99.97 | te_loss=0.021 te_acc=99.48 | time=232.1
Epoch 30 | q=4 | tr_loss=0.002 tr_acc=99.94 | te_loss=0.021 te_acc=99.50 | time=239.5
Epoch 31 | q=4 | tr_loss=0.002 tr_acc=99.95 | te_loss=0.021 te_acc=99.48 | time=247.3
Epoch 32 | q=4 | tr_loss=0.002 tr_acc=99.95 | te_loss=0.021 te_acc=99.48 | time=254.9
Epoch 33 | q=4 | tr_loss=0.002 tr_acc=99.95 | te_loss=0.021 te_acc=99.49 | time=262.8
Epoch 34 | q=4 | tr_loss=0.002 tr_acc=99.97 | te_loss=0.021 te_acc=99.49 | time=280.0
Epoch 35 | q=4 | tr_loss=0.001 tr_acc=99.96 | te_loss=0.021 te_acc=99.49 | time=287.6
Epoch 36 | q=4 | tr_loss=0.002 tr_acc=99.96 | te_loss=0.021 te_acc=99.49 | time=295.4
Epoch 37 | q=4 | tr_loss=0.002 tr_acc=99.96 | te_loss=0.022 te_acc=99.50 | time=303.2
Epoch 38 | q=4 | tr_loss=0.001 tr_acc=99.97 | te_loss=0.021 te_acc=99.49 | time=311.0
Epoch 39 | q=4 | tr_loss=0.001 tr_acc=99.97 | te_loss=0.021 te_acc=99.49 | time=318.7
Epoch 40 | q=4 | tr_loss=0.001 tr_acc=99.95 | te_loss=0.021 te_acc=99.50 | time=326.5
Epoch 41 | q=4 | tr_loss=0.001 tr_acc=99.97 | te_loss=0.021 te_acc=99.49 | time=334.5
Epoch 42 | q=4 | tr_loss=0.001 tr_acc=99.97 | te_loss=0.022 te_acc=99.50 | time=341.9
Epoch 43 | q=4 | tr_loss=0.001 tr_acc=99.97 | te_loss=0.022 te_acc=99.51 | time=349.5
Epoch 44 | q=4 | tr_loss=0.001 tr_acc=99.95 | te_loss=0.022 te_acc=99.50 | time=357.3
Epoch 45 | q=4 | tr_loss=0.001 tr_acc=99.97 | te_loss=0.022 te_acc=99.51 | time=365.1
Epoch 46 | q=4 | tr_loss=0.002 tr_acc=99.96 | te_loss=0.022 te_acc=99.49 | time=372.6
Epoch 47 | q=4 | tr_loss=0.001 tr_acc=99.97 | te_loss=0.022 te_acc=99.50 | time=380.4
Epoch 48 | q=4 | tr_loss=0.001 tr_acc=99.98 | te_loss=0.022 te_acc=99.50 | time=387.8
Epoch 49 | q=4 | tr_loss=0.001 tr_acc=99.97 | te_loss=0.022 te_acc=99.50 | time=395.7
Epoch 50 | q=4 | tr_loss=0.001 tr_acc=99.96 | te_loss=0.022 te_acc=99.50 | time=403.6
