Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='mnist', data_aug=0, model='LeNet', lr=0.01, batch_size=64, ssize=64, method=<Method.RANKED: 6>)
initial seed = 5
Epoch 0 | tr_loss=2.304 tr_acc=9.69 | te_loss=2.303 te_acc=10.49 | time=18.4
Epoch 1 | tr_loss=0.059 tr_acc=98.20 | te_loss=0.045 te_acc=98.53 | time=30.9
Epoch 2 | tr_loss=0.037 tr_acc=98.88 | te_loss=0.034 te_acc=98.84 | time=38.9
Epoch 3 | tr_loss=0.028 tr_acc=99.07 | te_loss=0.028 te_acc=99.13 | time=46.8
Epoch 4 | tr_loss=0.019 tr_acc=99.43 | te_loss=0.022 te_acc=99.32 | time=54.4
Epoch 5 | tr_loss=0.013 tr_acc=99.61 | te_loss=0.021 te_acc=99.33 | time=62.3
Epoch 6 | tr_loss=0.009 tr_acc=99.73 | te_loss=0.016 te_acc=99.49 | time=70.1
Epoch 7 | tr_loss=0.008 tr_acc=99.74 | te_loss=0.016 te_acc=99.47 | time=78.3
Epoch 8 | tr_loss=0.007 tr_acc=99.78 | te_loss=0.016 te_acc=99.50 | time=86.4
Epoch 9 | tr_loss=0.007 tr_acc=99.80 | te_loss=0.016 te_acc=99.50 | time=95.0
Epoch 10 | tr_loss=0.007 tr_acc=99.81 | te_loss=0.016 te_acc=99.54 | time=103.1
Epoch 11 | tr_loss=0.007 tr_acc=99.82 | te_loss=0.016 te_acc=99.53 | time=111.2
Epoch 12 | tr_loss=0.006 tr_acc=99.84 | te_loss=0.016 te_acc=99.51 | time=119.2
Epoch 13 | tr_loss=0.007 tr_acc=99.82 | te_loss=0.016 te_acc=99.51 | time=127.1
Epoch 14 | tr_loss=0.006 tr_acc=99.83 | te_loss=0.016 te_acc=99.50 | time=135.1
Epoch 15 | tr_loss=0.006 tr_acc=99.82 | te_loss=0.016 te_acc=99.51 | time=143.0
Epoch 16 | tr_loss=0.006 tr_acc=99.86 | te_loss=0.016 te_acc=99.51 | time=151.2
Epoch 17 | tr_loss=0.006 tr_acc=99.83 | te_loss=0.016 te_acc=99.52 | time=159.3
Epoch 18 | tr_loss=0.006 tr_acc=99.85 | te_loss=0.016 te_acc=99.52 | time=167.5
Epoch 19 | tr_loss=0.006 tr_acc=99.81 | te_loss=0.016 te_acc=99.52 | time=175.7
Epoch 20 | tr_loss=0.006 tr_acc=99.83 | te_loss=0.016 te_acc=99.51 | time=183.2
Epoch 21 | tr_loss=0.006 tr_acc=99.86 | te_loss=0.016 te_acc=99.50 | time=191.1
Epoch 22 | tr_loss=0.006 tr_acc=99.83 | te_loss=0.016 te_acc=99.52 | time=198.9
Epoch 23 | tr_loss=0.006 tr_acc=99.85 | te_loss=0.016 te_acc=99.51 | time=206.8
Epoch 24 | tr_loss=0.006 tr_acc=99.85 | te_loss=0.016 te_acc=99.52 | time=214.7
Epoch 25 | tr_loss=0.006 tr_acc=99.87 | te_loss=0.016 te_acc=99.52 | time=222.7
Epoch 26 | tr_loss=0.006 tr_acc=99.85 | te_loss=0.016 te_acc=99.52 | time=230.5
Epoch 27 | tr_loss=0.006 tr_acc=99.85 | te_loss=0.016 te_acc=99.53 | time=238.8
Epoch 28 | tr_loss=0.006 tr_acc=99.85 | te_loss=0.016 te_acc=99.53 | time=246.6
Epoch 29 | tr_loss=0.005 tr_acc=99.87 | te_loss=0.016 te_acc=99.52 | time=254.7
Epoch 30 | tr_loss=0.006 tr_acc=99.84 | te_loss=0.016 te_acc=99.52 | time=262.6
Epoch 31 | tr_loss=0.005 tr_acc=99.86 | te_loss=0.016 te_acc=99.52 | time=270.7
Epoch 32 | tr_loss=0.005 tr_acc=99.87 | te_loss=0.016 te_acc=99.52 | time=279.0
Epoch 33 | tr_loss=0.006 tr_acc=99.86 | te_loss=0.016 te_acc=99.52 | time=287.1
Epoch 34 | tr_loss=0.005 tr_acc=99.87 | te_loss=0.016 te_acc=99.52 | time=295.0
Epoch 35 | tr_loss=0.005 tr_acc=99.85 | te_loss=0.016 te_acc=99.52 | time=303.2
Epoch 36 | tr_loss=0.005 tr_acc=99.86 | te_loss=0.016 te_acc=99.52 | time=311.2
Epoch 37 | tr_loss=0.005 tr_acc=99.86 | te_loss=0.016 te_acc=99.52 | time=318.9
Epoch 38 | tr_loss=0.005 tr_acc=99.85 | te_loss=0.016 te_acc=99.52 | time=326.8
Epoch 39 | tr_loss=0.005 tr_acc=99.86 | te_loss=0.016 te_acc=99.53 | time=334.7
Epoch 40 | tr_loss=0.005 tr_acc=99.87 | te_loss=0.016 te_acc=99.53 | time=342.6
Epoch 41 | tr_loss=0.005 tr_acc=99.87 | te_loss=0.016 te_acc=99.52 | time=350.6
Epoch 42 | tr_loss=0.005 tr_acc=99.86 | te_loss=0.016 te_acc=99.52 | time=358.5
Epoch 43 | tr_loss=0.005 tr_acc=99.84 | te_loss=0.016 te_acc=99.52 | time=366.1
Epoch 44 | tr_loss=0.005 tr_acc=99.86 | te_loss=0.016 te_acc=99.52 | time=374.5
