Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='mnist', data_aug=0, model='LeNet', lr=0.01, batch_size=64, ssize=64, method=<Method.ZSCORE: 3>)
initial seed = 5
Epoch 0 | tr_loss=2.304 tr_acc=9.69 | te_loss=2.303 te_acc=10.49 | time=18.3
Epoch 1 | tr_loss=0.268 tr_acc=95.56 | te_loss=0.231 te_acc=97.57 | time=30.8
Epoch 2 | tr_loss=0.305 tr_acc=96.53 | te_loss=0.270 te_acc=97.50 | time=39.0
Epoch 3 | tr_loss=0.165 tr_acc=97.12 | te_loss=0.139 te_acc=98.36 | time=47.2
Epoch 4 | tr_loss=0.230 tr_acc=96.52 | te_loss=0.200 te_acc=97.65 | time=55.6
Epoch 5 | tr_loss=0.283 tr_acc=95.89 | te_loss=0.243 te_acc=97.20 | time=63.9
Epoch 6 | tr_loss=0.356 tr_acc=94.51 | te_loss=0.322 te_acc=96.39 | time=72.7
Epoch 7 | tr_loss=0.229 tr_acc=97.09 | te_loss=0.203 te_acc=97.81 | time=81.4
Epoch 8 | tr_loss=0.250 tr_acc=96.24 | te_loss=0.221 te_acc=97.72 | time=89.6
Epoch 9 | tr_loss=0.148 tr_acc=97.45 | te_loss=0.123 te_acc=98.09 | time=97.6
Epoch 10 | tr_loss=0.116 tr_acc=98.91 | te_loss=0.107 te_acc=98.95 | time=105.6
Epoch 11 | tr_loss=0.094 tr_acc=99.14 | te_loss=0.090 te_acc=98.96 | time=114.1
Epoch 12 | tr_loss=0.076 tr_acc=99.49 | te_loss=0.076 te_acc=99.14 | time=122.3
Epoch 13 | tr_loss=0.062 tr_acc=99.52 | te_loss=0.065 te_acc=99.06 | time=130.8
Epoch 14 | tr_loss=0.057 tr_acc=99.61 | te_loss=0.060 te_acc=99.10 | time=138.9
Epoch 15 | tr_loss=0.052 tr_acc=99.65 | te_loss=0.056 te_acc=99.11 | time=147.2
Epoch 16 | tr_loss=0.050 tr_acc=99.67 | te_loss=0.055 te_acc=99.14 | time=155.2
Epoch 17 | tr_loss=0.047 tr_acc=99.70 | te_loss=0.053 te_acc=99.14 | time=163.8
Epoch 18 | tr_loss=0.047 tr_acc=99.70 | te_loss=0.052 te_acc=99.17 | time=171.6
Epoch 19 | tr_loss=0.045 tr_acc=99.69 | te_loss=0.051 te_acc=99.13 | time=179.9
Epoch 20 | tr_loss=0.044 tr_acc=99.72 | te_loss=0.050 te_acc=99.18 | time=188.2
Epoch 21 | tr_loss=0.042 tr_acc=99.72 | te_loss=0.048 te_acc=99.19 | time=196.5
Epoch 22 | tr_loss=0.041 tr_acc=99.73 | te_loss=0.047 te_acc=99.19 | time=204.9
Epoch 23 | tr_loss=0.040 tr_acc=99.75 | te_loss=0.047 te_acc=99.21 | time=213.1
Epoch 24 | tr_loss=0.039 tr_acc=99.76 | te_loss=0.046 te_acc=99.19 | time=221.0
Epoch 25 | tr_loss=0.039 tr_acc=99.78 | te_loss=0.047 te_acc=99.17 | time=229.3
Epoch 26 | tr_loss=0.037 tr_acc=99.77 | te_loss=0.044 te_acc=99.21 | time=238.5
Epoch 27 | tr_loss=0.036 tr_acc=99.76 | te_loss=0.044 te_acc=99.21 | time=247.1
Epoch 28 | tr_loss=0.036 tr_acc=99.78 | te_loss=0.043 te_acc=99.18 | time=256.1
Epoch 29 | tr_loss=0.035 tr_acc=99.80 | te_loss=0.043 te_acc=99.21 | time=264.7
Epoch 30 | tr_loss=0.033 tr_acc=99.79 | te_loss=0.041 te_acc=99.20 | time=273.4
Epoch 31 | tr_loss=0.034 tr_acc=99.82 | te_loss=0.043 te_acc=99.20 | time=281.9
Epoch 32 | tr_loss=0.033 tr_acc=99.81 | te_loss=0.041 te_acc=99.20 | time=290.8
Epoch 33 | tr_loss=0.030 tr_acc=99.81 | te_loss=0.039 te_acc=99.21 | time=299.3
Epoch 34 | tr_loss=0.030 tr_acc=99.82 | te_loss=0.039 te_acc=99.21 | time=307.8
Epoch 35 | tr_loss=0.029 tr_acc=99.83 | te_loss=0.039 te_acc=99.24 | time=316.2
Epoch 36 | tr_loss=0.029 tr_acc=99.82 | te_loss=0.038 te_acc=99.21 | time=324.6
Epoch 37 | tr_loss=0.028 tr_acc=99.85 | te_loss=0.038 te_acc=99.20 | time=333.0
Epoch 38 | tr_loss=0.027 tr_acc=99.82 | te_loss=0.037 te_acc=99.20 | time=341.3
Epoch 39 | tr_loss=0.026 tr_acc=99.86 | te_loss=0.036 te_acc=99.24 | time=349.8
Epoch 40 | tr_loss=0.026 tr_acc=99.86 | te_loss=0.036 te_acc=99.25 | time=358.0
Epoch 41 | tr_loss=0.025 tr_acc=99.86 | te_loss=0.036 te_acc=99.21 | time=366.4
Epoch 42 | tr_loss=0.024 tr_acc=99.87 | te_loss=0.035 te_acc=99.20 | time=374.6
Epoch 43 | tr_loss=0.024 tr_acc=99.88 | te_loss=0.034 te_acc=99.21 | time=383.0
Epoch 44 | tr_loss=0.024 tr_acc=99.88 | te_loss=0.035 te_acc=99.22 | time=391.3
Epoch 45 | tr_loss=0.023 tr_acc=99.87 | te_loss=0.034 te_acc=99.24 | time=399.8
Epoch 46 | tr_loss=0.022 tr_acc=99.91 | te_loss=0.034 te_acc=99.24 | time=408.4
Epoch 47 | tr_loss=0.022 tr_acc=99.88 | te_loss=0.034 te_acc=99.22 | time=416.3
Epoch 48 | tr_loss=0.021 tr_acc=99.90 | te_loss=0.033 te_acc=99.24 | time=424.4
Epoch 49 | tr_loss=0.021 tr_acc=99.90 | te_loss=0.033 te_acc=99.25 | time=432.5
Epoch 50 | tr_loss=0.021 tr_acc=99.89 | te_loss=0.033 te_acc=99.24 | time=441.0
