Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='svhn', data_aug=0, model='PreActResNet18', lr=0.01, batch_size=64, ssize=64, method=<Method.SGD: 0>)
initial seed = 5
Epoch 0 | tr_loss=2.329 tr_acc=7.54 | te_loss=2.335 te_acc=7.79 | time=9.5
Epoch 1 | tr_loss=0.313 tr_acc=90.58 | te_loss=0.340 te_acc=90.05 | time=35.5
Epoch 2 | tr_loss=0.175 tr_acc=94.89 | te_loss=0.214 te_acc=94.06 | time=61.0
Epoch 3 | tr_loss=0.130 tr_acc=96.44 | te_loss=0.210 te_acc=94.06 | time=86.2
Epoch 4 | tr_loss=0.110 tr_acc=96.90 | te_loss=0.211 te_acc=94.05 | time=111.8
Epoch 5 | tr_loss=0.096 tr_acc=97.16 | te_loss=0.207 te_acc=94.39 | time=137.5
Epoch 6 | tr_loss=0.063 tr_acc=98.17 | te_loss=0.212 te_acc=94.50 | time=163.2
Epoch 7 | tr_loss=0.058 tr_acc=98.20 | te_loss=0.243 te_acc=93.75 | time=188.6
Epoch 8 | tr_loss=0.047 tr_acc=98.51 | te_loss=0.252 te_acc=93.87 | time=213.7
Epoch 9 | tr_loss=0.034 tr_acc=98.93 | te_loss=0.266 te_acc=93.81 | time=238.8
Epoch 10 | tr_loss=0.006 tr_acc=99.92 | te_loss=0.222 te_acc=95.07 | time=264.2
Epoch 11 | tr_loss=0.006 tr_acc=99.93 | te_loss=0.223 te_acc=95.05 | time=289.3
Epoch 12 | tr_loss=0.005 tr_acc=99.93 | te_loss=0.224 te_acc=95.11 | time=315.0
Epoch 13 | tr_loss=0.005 tr_acc=99.94 | te_loss=0.223 te_acc=95.12 | time=340.1
Epoch 14 | tr_loss=0.005 tr_acc=99.94 | te_loss=0.223 te_acc=95.08 | time=365.5
Epoch 15 | tr_loss=0.004 tr_acc=99.95 | te_loss=0.226 te_acc=95.11 | time=390.8
Epoch 16 | tr_loss=0.004 tr_acc=99.96 | te_loss=0.226 te_acc=95.14 | time=416.0
Epoch 17 | tr_loss=0.004 tr_acc=99.95 | te_loss=0.226 te_acc=95.18 | time=441.5
Epoch 18 | tr_loss=0.004 tr_acc=99.96 | te_loss=0.226 te_acc=95.17 | time=467.0
Epoch 19 | tr_loss=0.004 tr_acc=99.96 | te_loss=0.226 te_acc=95.11 | time=491.9
Epoch 20 | tr_loss=0.004 tr_acc=99.96 | te_loss=0.228 te_acc=95.18 | time=517.4
Epoch 21 | tr_loss=0.004 tr_acc=99.97 | te_loss=0.228 te_acc=95.16 | time=542.8
Epoch 22 | tr_loss=0.003 tr_acc=99.97 | te_loss=0.226 te_acc=95.23 | time=568.1
Epoch 23 | tr_loss=0.003 tr_acc=99.97 | te_loss=0.231 te_acc=95.09 | time=593.4
Epoch 24 | tr_loss=0.003 tr_acc=99.97 | te_loss=0.230 te_acc=95.15 | time=618.7
Epoch 25 | tr_loss=0.003 tr_acc=99.97 | te_loss=0.230 te_acc=95.14 | time=643.9
Epoch 26 | tr_loss=0.003 tr_acc=99.98 | te_loss=0.233 te_acc=95.16 | time=669.2
Epoch 27 | tr_loss=0.003 tr_acc=99.98 | te_loss=0.228 te_acc=95.18 | time=694.5
Epoch 28 | tr_loss=0.003 tr_acc=99.98 | te_loss=0.233 te_acc=95.18 | time=720.1
Epoch 29 | tr_loss=0.003 tr_acc=99.98 | te_loss=0.231 te_acc=95.22 | time=745.6
Epoch 30 | tr_loss=0.003 tr_acc=99.98 | te_loss=0.232 te_acc=95.14 | time=771.0
Epoch 31 | tr_loss=0.002 tr_acc=99.98 | te_loss=0.233 te_acc=95.22 | time=796.4
Epoch 32 | tr_loss=0.002 tr_acc=99.98 | te_loss=0.235 te_acc=95.19 | time=821.5
Epoch 33 | tr_loss=0.002 tr_acc=99.99 | te_loss=0.233 te_acc=95.09 | time=846.9
Epoch 34 | tr_loss=0.002 tr_acc=99.98 | te_loss=0.232 te_acc=95.17 | time=872.3
Epoch 35 | tr_loss=0.002 tr_acc=99.98 | te_loss=0.234 te_acc=95.21 | time=897.5
Epoch 36 | tr_loss=0.002 tr_acc=99.98 | te_loss=0.236 te_acc=95.11 | time=922.8
Epoch 37 | tr_loss=0.002 tr_acc=99.99 | te_loss=0.235 te_acc=95.21 | time=948.2
Epoch 38 | tr_loss=0.002 tr_acc=99.99 | te_loss=0.234 te_acc=95.15 | time=973.8
Epoch 39 | tr_loss=0.002 tr_acc=99.99 | te_loss=0.236 te_acc=95.11 | time=999.3
Epoch 40 | tr_loss=0.002 tr_acc=99.99 | te_loss=0.236 te_acc=95.19 | time=1024.8
