Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='svhn', data_aug=0, model='PreActResNet18', lr=0.01, batch_size=64, ssize=64, method=<Method.KLDRO: 2>)
initial seed = 5
Epoch 0 | tr_loss=2.329 tr_acc=7.54 | te_loss=2.335 te_acc=7.79 | time=15.1
Epoch 1 | tr_loss=1.029 tr_acc=78.23 | te_loss=1.096 te_acc=75.73 | time=43.8
Epoch 2 | tr_loss=0.844 tr_acc=81.72 | te_loss=0.931 te_acc=80.98 | time=69.3
Epoch 3 | tr_loss=0.516 tr_acc=89.45 | te_loss=0.595 te_acc=88.29 | time=94.7
Epoch 4 | tr_loss=0.451 tr_acc=91.24 | te_loss=0.523 te_acc=91.02 | time=120.7
Epoch 5 | tr_loss=0.457 tr_acc=91.28 | te_loss=0.499 te_acc=90.55 | time=146.2
Epoch 6 | tr_loss=0.410 tr_acc=90.71 | te_loss=0.469 te_acc=89.31 | time=171.8
Epoch 7 | tr_loss=0.367 tr_acc=91.68 | te_loss=0.460 te_acc=89.30 | time=197.5
Epoch 8 | tr_loss=0.244 tr_acc=94.87 | te_loss=0.332 te_acc=92.26 | time=223.1
Epoch 9 | tr_loss=0.234 tr_acc=94.34 | te_loss=0.352 te_acc=90.62 | time=248.6
Epoch 10 | tr_loss=0.080 tr_acc=98.51 | te_loss=0.195 te_acc=94.97 | time=274.2
Epoch 11 | tr_loss=0.054 tr_acc=99.08 | te_loss=0.187 te_acc=94.99 | time=299.6
Epoch 12 | tr_loss=0.038 tr_acc=99.39 | te_loss=0.191 te_acc=94.99 | time=325.1
Epoch 13 | tr_loss=0.027 tr_acc=99.68 | te_loss=0.194 te_acc=95.07 | time=350.3
Epoch 14 | tr_loss=0.025 tr_acc=99.72 | te_loss=0.196 te_acc=95.06 | time=375.6
Epoch 15 | tr_loss=0.024 tr_acc=99.77 | te_loss=0.197 te_acc=95.10 | time=401.3
Epoch 16 | tr_loss=0.024 tr_acc=99.76 | te_loss=0.198 te_acc=95.08 | time=426.7
Epoch 17 | tr_loss=0.023 tr_acc=99.77 | te_loss=0.197 te_acc=95.13 | time=452.0
Epoch 18 | tr_loss=0.022 tr_acc=99.80 | te_loss=0.199 te_acc=95.11 | time=477.4
Epoch 19 | tr_loss=0.021 tr_acc=99.79 | te_loss=0.200 te_acc=95.10 | time=502.4
Epoch 20 | tr_loss=0.020 tr_acc=99.83 | te_loss=0.202 te_acc=95.12 | time=527.6
Epoch 21 | tr_loss=0.020 tr_acc=99.82 | te_loss=0.203 te_acc=95.16 | time=553.2
Epoch 22 | tr_loss=0.019 tr_acc=99.81 | te_loss=0.202 te_acc=95.16 | time=578.6
Epoch 23 | tr_loss=0.018 tr_acc=99.83 | te_loss=0.205 te_acc=95.11 | time=604.3
Epoch 24 | tr_loss=0.018 tr_acc=99.86 | te_loss=0.207 te_acc=95.13 | time=629.9
Epoch 25 | tr_loss=0.017 tr_acc=99.88 | te_loss=0.206 te_acc=95.14 | time=655.3
Epoch 26 | tr_loss=0.017 tr_acc=99.89 | te_loss=0.208 te_acc=95.10 | time=680.4
Epoch 27 | tr_loss=0.017 tr_acc=99.88 | te_loss=0.207 te_acc=95.17 | time=705.5
Epoch 28 | tr_loss=0.016 tr_acc=99.89 | te_loss=0.211 te_acc=95.11 | time=731.1
Epoch 29 | tr_loss=0.016 tr_acc=99.87 | te_loss=0.210 te_acc=95.16 | time=756.5
Epoch 30 | tr_loss=0.015 tr_acc=99.89 | te_loss=0.211 te_acc=95.12 | time=782.1
Epoch 31 | tr_loss=0.015 tr_acc=99.90 | te_loss=0.213 te_acc=95.17 | time=807.3
Epoch 32 | tr_loss=0.014 tr_acc=99.91 | te_loss=0.216 te_acc=95.09 | time=832.9
Epoch 33 | tr_loss=0.014 tr_acc=99.95 | te_loss=0.215 te_acc=95.13 | time=858.1
Epoch 34 | tr_loss=0.014 tr_acc=99.92 | te_loss=0.215 te_acc=95.15 | time=883.8
Epoch 35 | tr_loss=0.014 tr_acc=99.92 | te_loss=0.217 te_acc=95.13 | time=909.2
Epoch 36 | tr_loss=0.013 tr_acc=99.92 | te_loss=0.218 te_acc=95.12 | time=934.3
Epoch 37 | tr_loss=0.013 tr_acc=99.94 | te_loss=0.219 te_acc=95.10 | time=959.8
Epoch 38 | tr_loss=0.012 tr_acc=99.96 | te_loss=0.218 te_acc=95.16 | time=985.3
Epoch 39 | tr_loss=0.012 tr_acc=99.93 | te_loss=0.220 te_acc=95.13 | time=1010.7
Epoch 40 | tr_loss=0.012 tr_acc=99.95 | te_loss=0.220 te_acc=95.09 | time=1036.1
Epoch 41 | tr_loss=0.012 tr_acc=99.95 | te_loss=0.221 te_acc=95.11 | time=1061.2
Epoch 42 | tr_loss=0.011 tr_acc=99.95 | te_loss=0.223 te_acc=95.16 | time=1085.9
Epoch 43 | tr_loss=0.011 tr_acc=99.96 | te_loss=0.225 te_acc=95.12 | time=1111.3
Epoch 44 | tr_loss=0.011 tr_acc=99.96 | te_loss=0.224 te_acc=95.10 | time=1136.8
Epoch 45 | tr_loss=0.011 tr_acc=99.94 | te_loss=0.227 te_acc=95.04 | time=1161.7
Epoch 46 | tr_loss=0.010 tr_acc=99.95 | te_loss=0.227 te_acc=95.12 | time=1186.9
Epoch 47 | tr_loss=0.010 tr_acc=99.95 | te_loss=0.226 te_acc=95.13 | time=1212.2
Epoch 48 | tr_loss=0.010 tr_acc=99.97 | te_loss=0.226 te_acc=95.12 | time=1237.6
Epoch 49 | tr_loss=0.010 tr_acc=99.96 | te_loss=0.228 te_acc=95.17 | time=1262.7
Epoch 50 | tr_loss=0.010 tr_acc=99.96 | te_loss=0.227 te_acc=95.17 | time=1288.1
