Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='svhn', data_aug=0, model='PreActResNet18', lr=0.01, batch_size=64, ssize=64, method=<Method.FOCAL: 5>)
initial seed = 5
Epoch 0 | tr_loss=2.329 tr_acc=7.53 | te_loss=2.335 te_acc=7.79 | time=13.0
Epoch 1 | tr_loss=1.287 tr_acc=73.60 | te_loss=1.304 te_acc=74.67 | time=40.0
Epoch 2 | tr_loss=1.092 tr_acc=85.38 | te_loss=1.139 te_acc=83.56 | time=63.8
Epoch 3 | tr_loss=0.898 tr_acc=86.57 | te_loss=0.949 te_acc=85.28 | time=87.3
Epoch 4 | tr_loss=1.000 tr_acc=89.09 | te_loss=1.050 te_acc=88.53 | time=111.3
Epoch 5 | tr_loss=0.926 tr_acc=88.94 | te_loss=0.953 te_acc=87.98 | time=135.1
Epoch 6 | tr_loss=0.828 tr_acc=90.50 | te_loss=0.867 te_acc=89.16 | time=159.0
Epoch 7 | tr_loss=0.781 tr_acc=89.28 | te_loss=0.832 te_acc=87.19 | time=182.7
Epoch 8 | tr_loss=0.586 tr_acc=92.91 | te_loss=0.629 te_acc=90.51 | time=206.4
Epoch 9 | tr_loss=0.587 tr_acc=93.18 | te_loss=0.651 te_acc=90.25 | time=230.2
Epoch 10 | tr_loss=0.323 tr_acc=98.56 | te_loss=0.413 te_acc=94.68 | time=254.0
Epoch 11 | tr_loss=0.229 tr_acc=99.27 | te_loss=0.324 te_acc=95.11 | time=278.5
Epoch 12 | tr_loss=0.174 tr_acc=99.54 | te_loss=0.286 te_acc=94.96 | time=303.0
Epoch 13 | tr_loss=0.135 tr_acc=99.76 | te_loss=0.252 te_acc=95.19 | time=326.9
Epoch 14 | tr_loss=0.117 tr_acc=99.79 | te_loss=0.241 te_acc=95.18 | time=351.0
Epoch 15 | tr_loss=0.106 tr_acc=99.85 | te_loss=0.232 te_acc=95.19 | time=375.6
Epoch 16 | tr_loss=0.096 tr_acc=99.84 | te_loss=0.227 te_acc=95.19 | time=400.1
Epoch 17 | tr_loss=0.087 tr_acc=99.85 | te_loss=0.222 te_acc=95.18 | time=424.7
Epoch 18 | tr_loss=0.079 tr_acc=99.89 | te_loss=0.218 te_acc=95.15 | time=449.4
Epoch 19 | tr_loss=0.070 tr_acc=99.89 | te_loss=0.213 te_acc=95.14 | time=473.1
Epoch 20 | tr_loss=0.064 tr_acc=99.92 | te_loss=0.210 te_acc=95.16 | time=496.8
Epoch 21 | tr_loss=0.056 tr_acc=99.93 | te_loss=0.207 te_acc=95.14 | time=521.6
Epoch 22 | tr_loss=0.053 tr_acc=99.92 | te_loss=0.207 te_acc=95.13 | time=545.8
Epoch 23 | tr_loss=0.046 tr_acc=99.94 | te_loss=0.204 te_acc=95.18 | time=569.8
