Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='svhn', data_aug=0, model='PreActResNet18', lr=0.01, batch_size=64, ssize=64, method=<Method.ORDERED: 1>)
initial seed = 5
Epoch 0 | q=64 | tr_loss=2.329 tr_acc=7.53 | te_loss=2.335 te_acc=7.78 | time=15.4
Epoch 1 | q=64 | tr_loss=0.319 tr_acc=90.24 | te_loss=0.351 te_acc=89.61 | time=58.9
Epoch 2 | q=16 | tr_loss=0.241 tr_acc=93.09 | te_loss=0.271 te_acc=92.32 | time=99.8
Epoch 3 | q=16 | tr_loss=0.205 tr_acc=94.10 | te_loss=0.249 te_acc=93.14 | time=140.3
Epoch 4 | q=16 | tr_loss=0.158 tr_acc=95.60 | te_loss=0.229 te_acc=93.79 | time=181.0
Epoch 5 | q=8 | tr_loss=0.173 tr_acc=95.17 | te_loss=0.225 te_acc=93.80 | time=221.7
Epoch 6 | q=8 | tr_loss=0.134 tr_acc=96.29 | te_loss=0.229 te_acc=93.89 | time=262.6
Epoch 7 | q=8 | tr_loss=0.105 tr_acc=97.04 | te_loss=0.221 te_acc=93.95 | time=303.4
Epoch 8 | q=8 | tr_loss=0.072 tr_acc=97.93 | te_loss=0.218 te_acc=94.60 | time=344.2
Epoch 9 | q=8 | tr_loss=0.064 tr_acc=98.13 | te_loss=0.252 te_acc=94.26 | time=385.1
Epoch 10 | q=8 | tr_loss=0.010 tr_acc=99.76 | te_loss=0.208 te_acc=95.65 | time=425.8
Epoch 11 | q=4 | tr_loss=0.009 tr_acc=99.82 | te_loss=0.213 te_acc=95.63 | time=466.8
Epoch 12 | q=4 | tr_loss=0.008 tr_acc=99.84 | te_loss=0.217 te_acc=95.62 | time=507.7
Epoch 13 | q=4 | tr_loss=0.007 tr_acc=99.86 | te_loss=0.219 te_acc=95.61 | time=548.4
Epoch 14 | q=4 | tr_loss=0.006 tr_acc=99.86 | te_loss=0.224 te_acc=95.57 | time=589.4
Epoch 15 | q=4 | tr_loss=0.005 tr_acc=99.89 | te_loss=0.230 te_acc=95.62 | time=629.8
Epoch 16 | q=4 | tr_loss=0.005 tr_acc=99.89 | te_loss=0.234 te_acc=95.54 | time=670.8
Epoch 17 | q=4 | tr_loss=0.004 tr_acc=99.90 | te_loss=0.233 te_acc=95.57 | time=711.4
Epoch 18 | q=4 | tr_loss=0.004 tr_acc=99.91 | te_loss=0.239 te_acc=95.51 | time=752.2
Epoch 19 | q=4 | tr_loss=0.004 tr_acc=99.92 | te_loss=0.241 te_acc=95.49 | time=792.8
Epoch 20 | q=4 | tr_loss=0.003 tr_acc=99.94 | te_loss=0.245 te_acc=95.49 | time=834.3
Epoch 21 | q=4 | tr_loss=0.003 tr_acc=99.94 | te_loss=0.248 te_acc=95.50 | time=875.0
Epoch 22 | q=4 | tr_loss=0.003 tr_acc=99.94 | te_loss=0.247 te_acc=95.51 | time=915.8
Epoch 23 | q=4 | tr_loss=0.002 tr_acc=99.95 | te_loss=0.255 te_acc=95.47 | time=956.5
Epoch 24 | q=4 | tr_loss=0.002 tr_acc=99.96 | te_loss=0.258 te_acc=95.46 | time=997.4
Epoch 25 | q=4 | tr_loss=0.002 tr_acc=99.96 | te_loss=0.259 te_acc=95.41 | time=1038.1
