Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='svhn', data_aug=0, model='PreActResNet18', lr=0.01, batch_size=64, ssize=64, method=<Method.RANKED: 6>)
initial seed = 5
Epoch 0 | tr_loss=2.329 tr_acc=7.53 | te_loss=2.335 te_acc=7.78 | time=15.5
Epoch 1 | tr_loss=0.410 tr_acc=87.93 | te_loss=0.444 te_acc=87.60 | time=59.2
Epoch 2 | tr_loss=0.208 tr_acc=94.29 | te_loss=0.245 te_acc=93.41 | time=99.9
Epoch 3 | tr_loss=0.161 tr_acc=95.51 | te_loss=0.221 te_acc=93.95 | time=140.8
Epoch 4 | tr_loss=0.136 tr_acc=96.43 | te_loss=0.214 te_acc=94.27 | time=181.7
Epoch 5 | tr_loss=0.114 tr_acc=96.71 | te_loss=0.199 te_acc=94.64 | time=222.6
Epoch 6 | tr_loss=0.101 tr_acc=97.00 | te_loss=0.237 te_acc=93.82 | time=263.6
Epoch 7 | tr_loss=0.074 tr_acc=97.69 | te_loss=0.231 te_acc=94.16 | time=304.6
Epoch 8 | tr_loss=0.058 tr_acc=98.20 | te_loss=0.233 te_acc=94.44 | time=345.4
Epoch 9 | tr_loss=0.054 tr_acc=98.28 | te_loss=0.263 te_acc=94.00 | time=386.1
Epoch 10 | tr_loss=0.008 tr_acc=99.86 | te_loss=0.219 te_acc=95.30 | time=427.0
Epoch 11 | tr_loss=0.007 tr_acc=99.87 | te_loss=0.219 te_acc=95.36 | time=468.0
Epoch 12 | tr_loss=0.006 tr_acc=99.90 | te_loss=0.222 te_acc=95.39 | time=508.7
Epoch 13 | tr_loss=0.006 tr_acc=99.91 | te_loss=0.222 te_acc=95.33 | time=549.6
Epoch 14 | tr_loss=0.006 tr_acc=99.91 | te_loss=0.223 te_acc=95.38 | time=590.5
Epoch 15 | tr_loss=0.005 tr_acc=99.93 | te_loss=0.227 te_acc=95.38 | time=631.3
Epoch 16 | tr_loss=0.005 tr_acc=99.94 | te_loss=0.229 te_acc=95.36 | time=672.3
Epoch 17 | tr_loss=0.005 tr_acc=99.93 | te_loss=0.226 te_acc=95.36 | time=713.3
Epoch 18 | tr_loss=0.004 tr_acc=99.94 | te_loss=0.229 te_acc=95.35 | time=754.2
Epoch 19 | tr_loss=0.004 tr_acc=99.93 | te_loss=0.230 te_acc=95.34 | time=795.1
Epoch 20 | tr_loss=0.004 tr_acc=99.94 | te_loss=0.233 te_acc=95.34 | time=836.1
Epoch 21 | tr_loss=0.004 tr_acc=99.95 | te_loss=0.233 te_acc=95.34 | time=877.2
