Namespace(job_id=1, seed=5, test_batch_size=100, momentum=0.9, weight_decay=0.0001, data_path='./dataset/', dataset='svhn', data_aug=0, model='PreActResNet18', lr=0.01, batch_size=64, ssize=64, method=<Method.ZSCORE: 3>)
initial seed = 5
Epoch 0 | tr_loss=2.329 tr_acc=7.53 | te_loss=2.335 te_acc=7.78 | time=15.4
Epoch 1 | tr_loss=1.259 tr_acc=68.53 | te_loss=1.265 te_acc=67.30 | time=59.0
Epoch 2 | tr_loss=0.852 tr_acc=84.05 | te_loss=0.938 te_acc=82.93 | time=99.6
Epoch 3 | tr_loss=0.728 tr_acc=84.45 | te_loss=0.810 te_acc=83.98 | time=140.5
Epoch 4 | tr_loss=0.567 tr_acc=90.42 | te_loss=0.662 te_acc=89.42 | time=181.5
Epoch 5 | tr_loss=0.691 tr_acc=88.53 | te_loss=0.740 te_acc=87.98 | time=222.3
Epoch 6 | tr_loss=0.617 tr_acc=88.90 | te_loss=0.684 te_acc=87.29 | time=263.0
Epoch 7 | tr_loss=0.604 tr_acc=84.63 | te_loss=0.668 te_acc=84.62 | time=303.9
Epoch 8 | tr_loss=0.389 tr_acc=92.98 | te_loss=0.457 te_acc=91.58 | time=344.5
Epoch 9 | tr_loss=0.387 tr_acc=94.29 | te_loss=0.483 te_acc=92.25 | time=385.2
Epoch 10 | tr_loss=0.204 tr_acc=98.21 | te_loss=0.310 te_acc=94.58 | time=426.0
Epoch 11 | tr_loss=0.146 tr_acc=98.87 | te_loss=0.264 te_acc=94.79 | time=466.9
Epoch 12 | tr_loss=0.110 tr_acc=99.32 | te_loss=0.244 te_acc=94.79 | time=507.7
Epoch 13 | tr_loss=0.072 tr_acc=99.63 | te_loss=0.223 te_acc=94.88 | time=548.3
Epoch 14 | tr_loss=0.055 tr_acc=99.78 | te_loss=0.212 te_acc=94.99 | time=589.2
Epoch 15 | tr_loss=0.048 tr_acc=99.80 | te_loss=0.211 te_acc=95.01 | time=630.2
Epoch 16 | tr_loss=0.042 tr_acc=99.81 | te_loss=0.209 te_acc=94.99 | time=671.3
Epoch 17 | tr_loss=0.038 tr_acc=99.86 | te_loss=0.208 te_acc=94.99 | time=712.1
Epoch 18 | tr_loss=0.034 tr_acc=99.87 | te_loss=0.208 te_acc=95.01 | time=752.9
Epoch 19 | tr_loss=0.030 tr_acc=99.88 | te_loss=0.209 te_acc=95.03 | time=793.8
Epoch 20 | tr_loss=0.027 tr_acc=99.91 | te_loss=0.211 te_acc=95.00 | time=834.3
Epoch 21 | tr_loss=0.024 tr_acc=99.90 | te_loss=0.214 te_acc=94.99 | time=875.1
Epoch 22 | tr_loss=0.022 tr_acc=99.92 | te_loss=0.214 te_acc=94.95 | time=915.8
Epoch 23 | tr_loss=0.019 tr_acc=99.94 | te_loss=0.218 te_acc=94.97 | time=956.6
Epoch 24 | tr_loss=0.018 tr_acc=99.94 | te_loss=0.222 te_acc=94.98 | time=997.0
Epoch 25 | tr_loss=0.016 tr_acc=99.95 | te_loss=0.222 te_acc=94.98 | time=1037.4
Epoch 26 | tr_loss=0.014 tr_acc=99.96 | te_loss=0.226 te_acc=94.96 | time=1077.7
Epoch 27 | tr_loss=0.013 tr_acc=99.96 | te_loss=0.226 te_acc=95.00 | time=1118.7
Epoch 28 | tr_loss=0.011 tr_acc=99.97 | te_loss=0.231 te_acc=95.00 | time=1159.6
Epoch 29 | tr_loss=0.010 tr_acc=99.97 | te_loss=0.232 te_acc=94.95 | time=1200.7
Epoch 30 | tr_loss=0.009 tr_acc=99.97 | te_loss=0.235 te_acc=95.01 | time=1241.8
Epoch 31 | tr_loss=0.008 tr_acc=99.98 | te_loss=0.238 te_acc=95.02 | time=1283.0
